rank,ticker,column_name,ticker_value,pool_median,pool_percentile,driver_class,source_file,role_label,attribution_mode
2,AEIS,rank,2,159.5000,0.6289,STRONG_NEGATIVE,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
2,AEIS,composite_candidate_score,58.86,32.4906,99.6855,STRONG_POSITIVE,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
2,AEIS,ranking_source_policy,V18_35E_ONLINE_BACKFILL_RECOMPUTE,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
2,AEIS,primary_score_source_files,outputs/v18/factor_pack/V18_35E_RECOMPUTED_AFTER_ONLINE_BACKFILL_FACTOR_PACK.csv;outputs/v18/technical_timing/V18_35E_RECOMPUTED_AFTER_ONLINE_BACKFILL_TECHNICAL_TIMING.csv,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
2,AEIS,score_source_status,OK_RECOMPUTED_FACTOR_TECHNICAL,,,POSITIVE,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
2,AEIS,score_source_files,outputs/v18/factor_pack/V18_35E_RECOMPUTED_AFTER_ONLINE_BACKFILL_FACTOR_PACK.csv;outputs/v18/technical_timing/V18_35E_RECOMPUTED_AFTER_ONLINE_BACKFILL_TECHNICAL_TIMING.csv,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
2,AEIS,score_source_columns,factor_pack_score;technical_timing_score,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
2,AEIS,technical_status,TECH_TIMING_WATCH_POSITIVE,,,POSITIVE,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
2,AEIS,event_risk_status,,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
2,AEIS,overheat_status,NOT_AVAILABLE_RESERVED,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
3,AGX,rank,3,159.5000,0.9434,STRONG_NEGATIVE,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
3,AGX,composite_candidate_score,57.4,32.4906,99.3711,STRONG_POSITIVE,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
3,AGX,ranking_source_policy,V18_35E_ONLINE_BACKFILL_RECOMPUTE,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
3,AGX,primary_score_source_files,outputs/v18/factor_pack/V18_35E_RECOMPUTED_AFTER_ONLINE_BACKFILL_FACTOR_PACK.csv;outputs/v18/technical_timing/V18_35E_RECOMPUTED_AFTER_ONLINE_BACKFILL_TECHNICAL_TIMING.csv,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
3,AGX,score_source_status,OK_RECOMPUTED_FACTOR_TECHNICAL,,,POSITIVE,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
3,AGX,score_source_files,outputs/v18/factor_pack/V18_35E_RECOMPUTED_AFTER_ONLINE_BACKFILL_FACTOR_PACK.csv;outputs/v18/technical_timing/V18_35E_RECOMPUTED_AFTER_ONLINE_BACKFILL_TECHNICAL_TIMING.csv,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
3,AGX,score_source_columns,factor_pack_score;technical_timing_score,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
3,AGX,technical_status,TECH_TIMING_NEUTRAL,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
3,AGX,event_risk_status,,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
3,AGX,overheat_status,NOT_AVAILABLE_RESERVED,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
4,BLTE,rank,4,159.5000,1.2579,STRONG_NEGATIVE,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
4,BLTE,composite_candidate_score,57.324,32.4906,99.0566,STRONG_POSITIVE,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
4,BLTE,ranking_source_policy,V18_35E_ONLINE_BACKFILL_RECOMPUTE,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
4,BLTE,primary_score_source_files,outputs/v18/factor_pack/V18_35E_RECOMPUTED_AFTER_ONLINE_BACKFILL_FACTOR_PACK.csv;outputs/v18/technical_timing/V18_35E_RECOMPUTED_AFTER_ONLINE_BACKFILL_TECHNICAL_TIMING.csv,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
4,BLTE,score_source_status,OK_RECOMPUTED_FACTOR_TECHNICAL,,,POSITIVE,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
4,BLTE,score_source_files,outputs/v18/factor_pack/V18_35E_RECOMPUTED_AFTER_ONLINE_BACKFILL_FACTOR_PACK.csv;outputs/v18/technical_timing/V18_35E_RECOMPUTED_AFTER_ONLINE_BACKFILL_TECHNICAL_TIMING.csv,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
4,BLTE,score_source_columns,factor_pack_score;technical_timing_score,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
4,BLTE,technical_status,TECH_TIMING_WATCH_POSITIVE,,,POSITIVE,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
4,BLTE,event_risk_status,,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
4,BLTE,overheat_status,NOT_AVAILABLE_RESERVED,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
5,LITE,rank,5,159.5000,1.5723,STRONG_NEGATIVE,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
5,LITE,composite_candidate_score,57.02,32.4906,98.7421,STRONG_POSITIVE,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
5,LITE,ranking_source_policy,V18_35E_ONLINE_BACKFILL_RECOMPUTE,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
5,LITE,primary_score_source_files,outputs/v18/factor_pack/V18_35E_RECOMPUTED_AFTER_ONLINE_BACKFILL_FACTOR_PACK.csv;outputs/v18/technical_timing/V18_35E_RECOMPUTED_AFTER_ONLINE_BACKFILL_TECHNICAL_TIMING.csv,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
5,LITE,score_source_status,OK_RECOMPUTED_FACTOR_TECHNICAL,,,POSITIVE,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
5,LITE,score_source_files,outputs/v18/factor_pack/V18_35E_RECOMPUTED_AFTER_ONLINE_BACKFILL_FACTOR_PACK.csv;outputs/v18/technical_timing/V18_35E_RECOMPUTED_AFTER_ONLINE_BACKFILL_TECHNICAL_TIMING.csv,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
5,LITE,score_source_columns,factor_pack_score;technical_timing_score,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
5,LITE,technical_status,TECH_TIMING_NEUTRAL,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
5,LITE,event_risk_status,,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
5,LITE,overheat_status,NOT_AVAILABLE_RESERVED,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
6,ALM,rank,6,159.5000,1.8868,STRONG_NEGATIVE,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
6,ALM,composite_candidate_score,56.892,32.4906,98.4277,STRONG_POSITIVE,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
6,ALM,ranking_source_policy,V18_35E_ONLINE_BACKFILL_RECOMPUTE,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
6,ALM,primary_score_source_files,outputs/v18/factor_pack/V18_35E_RECOMPUTED_AFTER_ONLINE_BACKFILL_FACTOR_PACK.csv;outputs/v18/technical_timing/V18_35E_RECOMPUTED_AFTER_ONLINE_BACKFILL_TECHNICAL_TIMING.csv,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
6,ALM,score_source_status,OK_RECOMPUTED_FACTOR_TECHNICAL,,,POSITIVE,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
6,ALM,score_source_files,outputs/v18/factor_pack/V18_35E_RECOMPUTED_AFTER_ONLINE_BACKFILL_FACTOR_PACK.csv;outputs/v18/technical_timing/V18_35E_RECOMPUTED_AFTER_ONLINE_BACKFILL_TECHNICAL_TIMING.csv,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
6,ALM,score_source_columns,factor_pack_score;technical_timing_score,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
6,ALM,technical_status,TECH_TIMING_PULLBACK_WATCH,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
6,ALM,event_risk_status,,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
6,ALM,overheat_status,NOT_AVAILABLE_RESERVED,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
7,POWL,rank,7,159.5000,2.2013,STRONG_NEGATIVE,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
7,POWL,composite_candidate_score,56.64,32.4906,98.1132,STRONG_POSITIVE,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
7,POWL,ranking_source_policy,V18_35E_ONLINE_BACKFILL_RECOMPUTE,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
7,POWL,primary_score_source_files,outputs/v18/factor_pack/V18_35E_RECOMPUTED_AFTER_ONLINE_BACKFILL_FACTOR_PACK.csv;outputs/v18/technical_timing/V18_35E_RECOMPUTED_AFTER_ONLINE_BACKFILL_TECHNICAL_TIMING.csv,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
7,POWL,score_source_status,OK_RECOMPUTED_FACTOR_TECHNICAL,,,POSITIVE,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
7,POWL,score_source_files,outputs/v18/factor_pack/V18_35E_RECOMPUTED_AFTER_ONLINE_BACKFILL_FACTOR_PACK.csv;outputs/v18/technical_timing/V18_35E_RECOMPUTED_AFTER_ONLINE_BACKFILL_TECHNICAL_TIMING.csv,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
7,POWL,score_source_columns,factor_pack_score;technical_timing_score,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
7,POWL,technical_status,TECH_TIMING_NEUTRAL,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
7,POWL,event_risk_status,,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
7,POWL,overheat_status,NOT_AVAILABLE_RESERVED,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
8,MTZ,rank,8,159.5000,2.5157,STRONG_NEGATIVE,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
8,MTZ,composite_candidate_score,56.632,32.4906,97.7987,STRONG_POSITIVE,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
8,MTZ,ranking_source_policy,V18_35E_ONLINE_BACKFILL_RECOMPUTE,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
8,MTZ,primary_score_source_files,outputs/v18/factor_pack/V18_35E_RECOMPUTED_AFTER_ONLINE_BACKFILL_FACTOR_PACK.csv;outputs/v18/technical_timing/V18_35E_RECOMPUTED_AFTER_ONLINE_BACKFILL_TECHNICAL_TIMING.csv,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
8,MTZ,score_source_status,OK_RECOMPUTED_FACTOR_TECHNICAL,,,POSITIVE,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
8,MTZ,score_source_files,outputs/v18/factor_pack/V18_35E_RECOMPUTED_AFTER_ONLINE_BACKFILL_FACTOR_PACK.csv;outputs/v18/technical_timing/V18_35E_RECOMPUTED_AFTER_ONLINE_BACKFILL_TECHNICAL_TIMING.csv,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
8,MTZ,score_source_columns,factor_pack_score;technical_timing_score,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
8,MTZ,technical_status,TECH_TIMING_NEUTRAL,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
8,MTZ,event_risk_status,,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
8,MTZ,overheat_status,NOT_AVAILABLE_RESERVED,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
9,MOD,rank,9,159.5000,2.8302,STRONG_NEGATIVE,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
9,MOD,composite_candidate_score,54.352,32.4906,97.4843,STRONG_POSITIVE,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
9,MOD,ranking_source_policy,V18_35E_ONLINE_BACKFILL_RECOMPUTE,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
9,MOD,primary_score_source_files,outputs/v18/factor_pack/V18_35E_RECOMPUTED_AFTER_ONLINE_BACKFILL_FACTOR_PACK.csv;outputs/v18/technical_timing/V18_35E_RECOMPUTED_AFTER_ONLINE_BACKFILL_TECHNICAL_TIMING.csv,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
9,MOD,score_source_status,OK_RECOMPUTED_FACTOR_TECHNICAL,,,POSITIVE,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
9,MOD,score_source_files,outputs/v18/factor_pack/V18_35E_RECOMPUTED_AFTER_ONLINE_BACKFILL_FACTOR_PACK.csv;outputs/v18/technical_timing/V18_35E_RECOMPUTED_AFTER_ONLINE_BACKFILL_TECHNICAL_TIMING.csv,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
9,MOD,score_source_columns,factor_pack_score;technical_timing_score,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
9,MOD,technical_status,TECH_TIMING_NEUTRAL,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
9,MOD,event_risk_status,,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
9,MOD,overheat_status,NOT_AVAILABLE_RESERVED,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
10,OC,rank,10,159.5000,3.1447,STRONG_NEGATIVE,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
10,OC,composite_candidate_score,53.908,32.4906,97.1698,STRONG_POSITIVE,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
10,OC,ranking_source_policy,V18_35E_ONLINE_BACKFILL_RECOMPUTE,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
10,OC,primary_score_source_files,outputs/v18/factor_pack/V18_35E_RECOMPUTED_AFTER_ONLINE_BACKFILL_FACTOR_PACK.csv;outputs/v18/technical_timing/V18_35E_RECOMPUTED_AFTER_ONLINE_BACKFILL_TECHNICAL_TIMING.csv,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
10,OC,score_source_status,OK_RECOMPUTED_FACTOR_TECHNICAL,,,POSITIVE,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
10,OC,score_source_files,outputs/v18/factor_pack/V18_35E_RECOMPUTED_AFTER_ONLINE_BACKFILL_FACTOR_PACK.csv;outputs/v18/technical_timing/V18_35E_RECOMPUTED_AFTER_ONLINE_BACKFILL_TECHNICAL_TIMING.csv,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
10,OC,score_source_columns,factor_pack_score;technical_timing_score,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
10,OC,technical_status,TECH_TIMING_WATCH_POSITIVE,,,POSITIVE,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
10,OC,event_risk_status,,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
10,OC,overheat_status,NOT_AVAILABLE_RESERVED,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
11,MU,rank,11,159.5000,3.4591,STRONG_NEGATIVE,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
11,MU,composite_candidate_score,53.856,32.4906,96.8553,STRONG_POSITIVE,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
11,MU,ranking_source_policy,V18_35E_ONLINE_BACKFILL_RECOMPUTE,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
11,MU,primary_score_source_files,outputs/v18/factor_pack/V18_35E_RECOMPUTED_AFTER_ONLINE_BACKFILL_FACTOR_PACK.csv;outputs/v18/technical_timing/V18_35E_RECOMPUTED_AFTER_ONLINE_BACKFILL_TECHNICAL_TIMING.csv,,,UNKNOWN,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
11,MU,score_source_status,OK_RECOMPUTED_FACTOR_TECHNICAL,,,POSITIVE,outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATES.csv,OFFICIAL_RANKING_INPUT,DESCRIPTIVE_ONLY
