path,item_type,size_mb,reason,reference_count,referenced_by_sample,current_alias_related,stable_snapshot_related,manual_state_related,price_cache_related,source_code_related,generated_output_related
state/v18/price_cache/BTDR.csv,FILE,0.2113,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
outputs/v18/factor_backtest/V18_4H_CURRENT_FACTOR_BACKTEST_DAILY_RETURNS.csv,FILE,0.209,Current alias or active output should be preserved.,0,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
outputs/v18/factor_backtest/V18_4H_R1_CURRENT_ROBUSTNESS_MATRIX.csv,FILE,0.206,Current alias or active output should be preserved.,0,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
state/v18/price_cache/IREN.csv,FILE,0.1993,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/CRDO.csv,FILE,0.1914,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/CEG.csv,FILE,0.1912,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
archive/stable/V18_19A_R1_stable_daily_readability_refactor_20260519_171556/state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv,FILE,0.1622,Always protected by policy or current-line status.,0,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
outputs/v18/universe/V18_CURRENT_UNIVERSE_ROLLING_STATE.csv,FILE,0.1622,Referenced by 1 active source file(s).,1,scripts/v18/v18_19A_daily_readability_refactor.py,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv,FILE,0.1622,Always protected by policy or current-line status.,2,scripts/v18/v18_19A_daily_readability_refactor.py | scripts/v18/v18_20A_deep_legacy_cleanup_audit.py,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
archive/stable_compressed/V17_6H_R2_stable_repair_health_compat_manual_daily_20260512_214624.zip,FILE,0.1334,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
archive/stable_compressed/V17_6H_stable_manual_run_full_universe_latest_price_20260512_165345.zip,FILE,0.1330,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
state/v18/price_cache/ARM.csv,FILE,0.1191,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
outputs/v18/simulation/V18_CURRENT_SIM_CANDIDATE_TRACKER.csv.before_v18_10A_R2_factor_capture_20260518_130936.bak,FILE,0.112,Current alias or active output should be preserved.,0,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
outputs/v18/simulation/V18_CURRENT_SIM_CANDIDATE_TRACKER.csv.before_v18_10A_R2_factor_capture_20260518_131419.bak,FILE,0.112,Current alias or active output should be preserved.,0,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
outputs/v18/simulation/V18_CURRENT_SIM_CANDIDATE_TRACKER.csv,FILE,0.108,Current alias or active output should be preserved.,0,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
state/v18/price_cache/CORZ.csv,FILE,0.1032,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
outputs/v18/simulation/V18_CURRENT_SIM_CANDIDATE_TRACKER.csv.before_v18_10A_R2_factor_capture_20260517_210713.bak,FILE,0.097,Current alias or active output should be preserved.,0,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
outputs/v18/simulation/V18_CURRENT_SIM_CANDIDATE_TRACKER.csv.before_v18_10A_R2_factor_capture_20260517_212019.bak,FILE,0.097,Current alias or active output should be preserved.,0,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
