path,relative_path,file_size_bytes,file_size_mb,modified_time,delete_reason,delete_risk_level,protected_status,will_delete_in_apply,deleted,delete_error
D:\us-tech-quant\outputs\v18\ops\V18_3E_R2_step2_v18_3C_shadow_20260518_164440.log,outputs/v18/ops/V18_3E_R2_step2_v18_3C_shadow_20260518_164440.log,3216,0.003,2026-05-18T16:45:50,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_3E_R2_step2_v18_3C_shadow_20260518_212143.log,outputs/v18/ops/V18_3E_R2_step2_v18_3C_shadow_20260518_212143.log,3216,0.003,2026-05-18T21:22:49,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_3E_R2_step2_v18_3C_shadow_20260518_213521.log,outputs/v18/ops/V18_3E_R2_step2_v18_3C_shadow_20260518_213521.log,3216,0.003,2026-05-18T21:36:25,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_3E_R2_step2_v18_3C_shadow_20260519_105238.log,outputs/v18/ops/V18_3E_R2_step2_v18_3C_shadow_20260519_105238.log,3221,0.003,2026-05-19T10:53:47,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_3E_R2_step3_v18_3D_R2_factor_pack_20260518_130454.log,outputs/v18/ops/V18_3E_R2_step3_v18_3D_R2_factor_pack_20260518_130454.log,2297,0.002,2026-05-18T13:06:15,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_3E_R2_step3_v18_3D_R2_factor_pack_20260518_131004.log,outputs/v18/ops/V18_3E_R2_step3_v18_3D_R2_factor_pack_20260518_131004.log,2297,0.002,2026-05-18T13:11:17,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_3E_R2_step3_v18_3D_R2_factor_pack_20260518_164440.log,outputs/v18/ops/V18_3E_R2_step3_v18_3D_R2_factor_pack_20260518_164440.log,2297,0.002,2026-05-18T16:45:55,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_3E_R2_step3_v18_3D_R2_factor_pack_20260518_212143.log,outputs/v18/ops/V18_3E_R2_step3_v18_3D_R2_factor_pack_20260518_212143.log,2297,0.002,2026-05-18T21:22:54,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_3E_R2_step3_v18_3D_R2_factor_pack_20260518_213521.log,outputs/v18/ops/V18_3E_R2_step3_v18_3D_R2_factor_pack_20260518_213521.log,2297,0.002,2026-05-18T21:36:31,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_3E_R2_step3_v18_3D_R2_factor_pack_20260519_105238.log,outputs/v18/ops/V18_3E_R2_step3_v18_3D_R2_factor_pack_20260519_105238.log,2297,0.002,2026-05-19T10:53:52,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_4A_R1_daily_integrated_20260518_130453.log,outputs/v18/ops/V18_4A_R1_daily_integrated_20260518_130453.log,1935,0.002,2026-05-18T13:06:15,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_4A_R1_daily_integrated_20260518_131003.log,outputs/v18/ops/V18_4A_R1_daily_integrated_20260518_131003.log,1935,0.002,2026-05-18T13:11:17,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_4A_R1_daily_integrated_20260518_164440.log,outputs/v18/ops/V18_4A_R1_daily_integrated_20260518_164440.log,1935,0.002,2026-05-18T16:45:55,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_4A_R1_daily_integrated_20260518_212142.log,outputs/v18/ops/V18_4A_R1_daily_integrated_20260518_212142.log,1935,0.002,2026-05-18T21:22:54,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_4A_R1_daily_integrated_20260518_213520.log,outputs/v18/ops/V18_4A_R1_daily_integrated_20260518_213520.log,1935,0.002,2026-05-18T21:36:31,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_4A_R1_daily_integrated_20260519_105238.log,outputs/v18/ops/V18_4A_R1_daily_integrated_20260519_105238.log,1926,0.002,2026-05-19T10:53:52,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_4A_upstream_cockpit_20260518_130454.log,outputs/v18/ops/V18_4A_upstream_cockpit_20260518_130454.log,1885,0.002,2026-05-18T13:06:15,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_4A_upstream_cockpit_20260518_131003.log,outputs/v18/ops/V18_4A_upstream_cockpit_20260518_131003.log,1885,0.002,2026-05-18T13:11:17,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_4A_upstream_cockpit_20260518_164440.log,outputs/v18/ops/V18_4A_upstream_cockpit_20260518_164440.log,1885,0.002,2026-05-18T16:45:55,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_4A_upstream_cockpit_20260518_212143.log,outputs/v18/ops/V18_4A_upstream_cockpit_20260518_212143.log,1885,0.002,2026-05-18T21:22:54,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_4A_upstream_cockpit_20260518_213520.log,outputs/v18/ops/V18_4A_upstream_cockpit_20260518_213520.log,1885,0.002,2026-05-18T21:36:31,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_4A_upstream_cockpit_20260519_105238.log,outputs/v18/ops/V18_4A_upstream_cockpit_20260519_105238.log,1885,0.002,2026-05-19T10:53:52,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_4B_R1_final_daily_20260518_130453.log,outputs/v18/ops/V18_4B_R1_final_daily_20260518_130453.log,1659,0.002,2026-05-18T13:06:15,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_4B_R1_final_daily_20260518_131003.log,outputs/v18/ops/V18_4B_R1_final_daily_20260518_131003.log,1659,0.002,2026-05-18T13:11:17,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_4B_R1_final_daily_20260518_164439.log,outputs/v18/ops/V18_4B_R1_final_daily_20260518_164439.log,1659,0.002,2026-05-18T16:45:56,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_4B_R1_final_daily_20260518_212142.log,outputs/v18/ops/V18_4B_R1_final_daily_20260518_212142.log,1659,0.002,2026-05-18T21:22:55,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_4B_R1_final_daily_20260518_213520.log,outputs/v18/ops/V18_4B_R1_final_daily_20260518_213520.log,1659,0.002,2026-05-18T21:36:31,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_4B_R1_final_daily_20260519_105238.log,outputs/v18/ops/V18_4B_R1_final_daily_20260519_105238.log,1651,0.002,2026-05-19T10:53:52,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_4B_upstream_integrated_20260518_130453.log,outputs/v18/ops/V18_4B_upstream_integrated_20260518_130453.log,1830,0.002,2026-05-18T13:06:15,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_4B_upstream_integrated_20260518_131003.log,outputs/v18/ops/V18_4B_upstream_integrated_20260518_131003.log,1830,0.002,2026-05-18T13:11:17,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_4B_upstream_integrated_20260518_164440.log,outputs/v18/ops/V18_4B_upstream_integrated_20260518_164440.log,1830,0.002,2026-05-18T16:45:55,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_4B_upstream_integrated_20260518_212142.log,outputs/v18/ops/V18_4B_upstream_integrated_20260518_212142.log,1830,0.002,2026-05-18T21:22:54,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_4B_upstream_integrated_20260518_213520.log,outputs/v18/ops/V18_4B_upstream_integrated_20260518_213520.log,1830,0.002,2026-05-18T21:36:31,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_4B_upstream_integrated_20260519_105238.log,outputs/v18/ops/V18_4B_upstream_integrated_20260519_105238.log,1821,0.002,2026-05-19T10:53:52,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_4C_RUNTIME_DEPENDENCY_AUDIT_20260518_130451.md,outputs/v18/ops/V18_4C_RUNTIME_DEPENDENCY_AUDIT_20260518_130451.md,3592,0.003,2026-05-18T13:04:52,OLD_GENERATED_OUTPUT_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_4C_RUNTIME_DEPENDENCY_AUDIT_20260518_131001.md,outputs/v18/ops/V18_4C_RUNTIME_DEPENDENCY_AUDIT_20260518_131001.md,3592,0.003,2026-05-18T13:10:02,OLD_GENERATED_OUTPUT_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_4C_RUNTIME_DEPENDENCY_AUDIT_20260518_152550.md,outputs/v18/ops/V18_4C_RUNTIME_DEPENDENCY_AUDIT_20260518_152550.md,3592,0.003,2026-05-18T15:25:51,OLD_GENERATED_OUTPUT_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_4C_RUNTIME_DEPENDENCY_AUDIT_20260518_153716.md,outputs/v18/ops/V18_4C_RUNTIME_DEPENDENCY_AUDIT_20260518_153716.md,3592,0.003,2026-05-18T15:37:17,OLD_GENERATED_OUTPUT_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_4C_RUNTIME_DEPENDENCY_AUDIT_20260518_164438.md,outputs/v18/ops/V18_4C_RUNTIME_DEPENDENCY_AUDIT_20260518_164438.md,3592,0.003,2026-05-18T16:44:39,OLD_GENERATED_OUTPUT_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_4C_RUNTIME_DEPENDENCY_AUDIT_20260518_205503.md,outputs/v18/ops/V18_4C_RUNTIME_DEPENDENCY_AUDIT_20260518_205503.md,3592,0.003,2026-05-18T20:55:04,OLD_GENERATED_OUTPUT_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_4C_RUNTIME_DEPENDENCY_AUDIT_20260518_210017.md,outputs/v18/ops/V18_4C_RUNTIME_DEPENDENCY_AUDIT_20260518_210017.md,3592,0.003,2026-05-18T21:00:18,OLD_GENERATED_OUTPUT_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_4C_RUNTIME_DEPENDENCY_AUDIT_20260518_212140.md,outputs/v18/ops/V18_4C_RUNTIME_DEPENDENCY_AUDIT_20260518_212140.md,3592,0.003,2026-05-18T21:21:41,OLD_GENERATED_OUTPUT_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_4C_RUNTIME_DEPENDENCY_AUDIT_20260518_213518.md,outputs/v18/ops/V18_4C_RUNTIME_DEPENDENCY_AUDIT_20260518_213518.md,3592,0.003,2026-05-18T21:35:19,OLD_GENERATED_OUTPUT_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_4C_RUNTIME_DEPENDENCY_AUDIT_20260518_214407.md,outputs/v18/ops/V18_4C_RUNTIME_DEPENDENCY_AUDIT_20260518_214407.md,3592,0.003,2026-05-18T21:44:08,OLD_GENERATED_OUTPUT_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_4C_RUNTIME_DEPENDENCY_AUDIT_20260518_221751.md,outputs/v18/ops/V18_4C_RUNTIME_DEPENDENCY_AUDIT_20260518_221751.md,3592,0.003,2026-05-18T22:17:52,OLD_GENERATED_OUTPUT_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_4C_runtime_dependency_graph_20260518_130451.csv,outputs/v18/ops/V18_4C_runtime_dependency_graph_20260518_130451.csv,8475,0.008,2026-05-18T13:04:52,OLD_GENERATED_OUTPUT_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_4C_runtime_dependency_graph_20260518_131001.csv,outputs/v18/ops/V18_4C_runtime_dependency_graph_20260518_131001.csv,8475,0.008,2026-05-18T13:10:02,OLD_GENERATED_OUTPUT_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_4C_runtime_dependency_graph_20260518_152550.csv,outputs/v18/ops/V18_4C_runtime_dependency_graph_20260518_152550.csv,8475,0.008,2026-05-18T15:25:51,OLD_GENERATED_OUTPUT_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_4C_runtime_dependency_graph_20260518_153716.csv,outputs/v18/ops/V18_4C_runtime_dependency_graph_20260518_153716.csv,8475,0.008,2026-05-18T15:37:17,OLD_GENERATED_OUTPUT_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_4C_runtime_dependency_graph_20260518_164438.csv,outputs/v18/ops/V18_4C_runtime_dependency_graph_20260518_164438.csv,8475,0.008,2026-05-18T16:44:39,OLD_GENERATED_OUTPUT_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_4C_runtime_dependency_graph_20260518_205503.csv,outputs/v18/ops/V18_4C_runtime_dependency_graph_20260518_205503.csv,8475,0.008,2026-05-18T20:55:04,OLD_GENERATED_OUTPUT_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_4C_runtime_dependency_graph_20260518_210017.csv,outputs/v18/ops/V18_4C_runtime_dependency_graph_20260518_210017.csv,8475,0.008,2026-05-18T21:00:18,OLD_GENERATED_OUTPUT_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_4C_runtime_dependency_graph_20260518_212140.csv,outputs/v18/ops/V18_4C_runtime_dependency_graph_20260518_212140.csv,8475,0.008,2026-05-18T21:21:41,OLD_GENERATED_OUTPUT_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_4C_runtime_dependency_graph_20260518_213518.csv,outputs/v18/ops/V18_4C_runtime_dependency_graph_20260518_213518.csv,8475,0.008,2026-05-18T21:35:19,OLD_GENERATED_OUTPUT_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_4C_runtime_dependency_graph_20260518_214407.csv,outputs/v18/ops/V18_4C_runtime_dependency_graph_20260518_214407.csv,8475,0.008,2026-05-18T21:44:07,OLD_GENERATED_OUTPUT_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_4C_runtime_dependency_graph_20260518_221751.csv,outputs/v18/ops/V18_4C_runtime_dependency_graph_20260518_221751.csv,8475,0.008,2026-05-18T22:17:52,OLD_GENERATED_OUTPUT_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_7B_STEP_1_V18_4C_RUNTIME_AUDIT_ONCE_20260518_130450.log,outputs/v18/ops/V18_7B_STEP_1_V18_4C_RUNTIME_AUDIT_ONCE_20260518_130450.log,556,0.001,2026-05-18T13:04:52,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_7B_STEP_1_V18_4C_RUNTIME_AUDIT_ONCE_20260518_131001.log,outputs/v18/ops/V18_7B_STEP_1_V18_4C_RUNTIME_AUDIT_ONCE_20260518_131001.log,556,0.001,2026-05-18T13:10:02,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_7B_STEP_1_V18_4C_RUNTIME_AUDIT_ONCE_20260518_152550.log,outputs/v18/ops/V18_7B_STEP_1_V18_4C_RUNTIME_AUDIT_ONCE_20260518_152550.log,556,0.001,2026-05-18T15:25:51,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_7B_STEP_1_V18_4C_RUNTIME_AUDIT_ONCE_20260518_153716.log,outputs/v18/ops/V18_7B_STEP_1_V18_4C_RUNTIME_AUDIT_ONCE_20260518_153716.log,556,0.001,2026-05-18T15:37:17,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_7B_STEP_1_V18_4C_RUNTIME_AUDIT_ONCE_20260518_164438.log,outputs/v18/ops/V18_7B_STEP_1_V18_4C_RUNTIME_AUDIT_ONCE_20260518_164438.log,556,0.001,2026-05-18T16:44:39,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_7B_STEP_1_V18_4C_RUNTIME_AUDIT_ONCE_20260518_205502.log,outputs/v18/ops/V18_7B_STEP_1_V18_4C_RUNTIME_AUDIT_ONCE_20260518_205502.log,556,0.001,2026-05-18T20:55:04,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_7B_STEP_1_V18_4C_RUNTIME_AUDIT_ONCE_20260518_210017.log,outputs/v18/ops/V18_7B_STEP_1_V18_4C_RUNTIME_AUDIT_ONCE_20260518_210017.log,556,0.001,2026-05-18T21:00:18,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_7B_STEP_1_V18_4C_RUNTIME_AUDIT_ONCE_20260518_212140.log,outputs/v18/ops/V18_7B_STEP_1_V18_4C_RUNTIME_AUDIT_ONCE_20260518_212140.log,556,0.001,2026-05-18T21:21:41,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_7B_STEP_1_V18_4C_RUNTIME_AUDIT_ONCE_20260518_213518.log,outputs/v18/ops/V18_7B_STEP_1_V18_4C_RUNTIME_AUDIT_ONCE_20260518_213518.log,556,0.001,2026-05-18T21:35:19,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_7B_STEP_1_V18_4C_RUNTIME_AUDIT_ONCE_20260518_214406.log,outputs/v18/ops/V18_7B_STEP_1_V18_4C_RUNTIME_AUDIT_ONCE_20260518_214406.log,556,0.001,2026-05-18T21:44:08,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_7B_STEP_1_V18_4C_RUNTIME_AUDIT_ONCE_20260518_221751.log,outputs/v18/ops/V18_7B_STEP_1_V18_4C_RUNTIME_AUDIT_ONCE_20260518_221751.log,556,0.001,2026-05-18T22:17:52,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_7B_STEP_1_V18_4C_RUNTIME_AUDIT_ONCE_20260518_222823.log,outputs/v18/ops/V18_7B_STEP_1_V18_4C_RUNTIME_AUDIT_ONCE_20260518_222823.log,556,0.001,2026-05-18T22:28:24,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_7B_STEP_1_V18_4C_RUNTIME_AUDIT_ONCE_20260518_223226.log,outputs/v18/ops/V18_7B_STEP_1_V18_4C_RUNTIME_AUDIT_ONCE_20260518_223226.log,556,0.001,2026-05-18T22:32:27,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_7B_STEP_1_V18_4C_RUNTIME_AUDIT_ONCE_20260519_105235.log,outputs/v18/ops/V18_7B_STEP_1_V18_4C_RUNTIME_AUDIT_ONCE_20260519_105235.log,556,0.001,2026-05-19T10:52:37,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_7B_STEP_2_V18_4C_FINAL_DAILY_SKIP_AUDIT_20260518_130450.log,outputs/v18/ops/V18_7B_STEP_2_V18_4C_FINAL_DAILY_SKIP_AUDIT_20260518_130450.log,6220,0.006,2026-05-18T13:06:15,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_7B_STEP_2_V18_4C_FINAL_DAILY_SKIP_AUDIT_20260518_131001.log,outputs/v18/ops/V18_7B_STEP_2_V18_4C_FINAL_DAILY_SKIP_AUDIT_20260518_131001.log,6220,0.006,2026-05-18T13:11:17,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_7B_STEP_2_V18_4C_FINAL_DAILY_SKIP_AUDIT_20260518_152550.log,outputs/v18/ops/V18_7B_STEP_2_V18_4C_FINAL_DAILY_SKIP_AUDIT_20260518_152550.log,1324,0.001,2026-05-18T15:25:52,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_7B_STEP_2_V18_4C_FINAL_DAILY_SKIP_AUDIT_20260518_153716.log,outputs/v18/ops/V18_7B_STEP_2_V18_4C_FINAL_DAILY_SKIP_AUDIT_20260518_153716.log,1324,0.001,2026-05-18T15:37:18,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
D:\us-tech-quant\outputs\v18\ops\V18_7B_STEP_2_V18_4C_FINAL_DAILY_SKIP_AUDIT_20260518_164438.log,outputs/v18/ops/V18_7B_STEP_2_V18_4C_FINAL_DAILY_SKIP_AUDIT_20260518_164438.log,6220,0.006,2026-05-18T16:45:56,OLD_LOG_BEYOND_RETENTION,LOW,UNPROTECTED,FALSE,FALSE,
