input_name,path,exists,rows,columns,last_write_time,status,notes
LOCAL_PRICE_SOURCE_10,D:\us-tech-quant\state\v18\V18_6C_CURRENT_TECHNICAL_TIMING_FORWARD_TRACKER.before_V18_6C_R1_20260517_215704.csv,YES,105,snapshot_price_date;ticker;yf_ticker;baseline_close;technical_timing_score;technical_signal;bb_status;rsi_status;kdj_status;bb_percent_b;bb_bandwidth;signal_bb_squeeze;rsi_14;kdj_k;kdj_d;kdj_j;volume_ratio_5_20;overheat_penalty;pullback_timing_bonus;breakout_confirmation_bonus;technical_warning_label;vix_date;vix_close;vix_regime;signal_watch_positive;signal_pullback_watch;signal_overheat_old;signal_breakout_continuation;signal_exhaustion_risk;signal_overheat_unclassified;official_decision_impact;tracker_added_at;obs_price_date_1;obs_close_1;ret_fwd_1;completed_1;obs_price_date_3;obs_close_3;ret_fwd_3;completed_3;obs_price_date_5;obs_close_5;ret_fwd_5;completed_5;obs_price_date_10;obs_close_10;ret_fwd_10;completed_10;obs_price_date_20;obs_close_20;ret_fwd_20;completed_20,2026-05-16 15:53:16,USED,price_points=105
LOCAL_PRICE_SOURCE_11,D:\us-tech-quant\state\v18\V18_6C_CURRENT_TECHNICAL_TIMING_FORWARD_TRACKER.before_V18_6C_R1_20260517_220411.csv,YES,105,snapshot_price_date;ticker;yf_ticker;baseline_close;technical_timing_score;technical_signal;bb_status;rsi_status;kdj_status;bb_percent_b;bb_bandwidth;signal_bb_squeeze;rsi_14;kdj_k;kdj_d;kdj_j;volume_ratio_5_20;overheat_penalty;pullback_timing_bonus;breakout_confirmation_bonus;technical_warning_label;vix_date;vix_close;vix_regime;signal_watch_positive;signal_pullback_watch;signal_overheat_old;signal_breakout_continuation;signal_exhaustion_risk;signal_overheat_unclassified;official_decision_impact;tracker_added_at;obs_price_date_1;obs_close_1;ret_fwd_1;completed_1;obs_price_date_3;obs_close_3;ret_fwd_3;completed_3;obs_price_date_5;obs_close_5;ret_fwd_5;completed_5;obs_price_date_10;obs_close_10;ret_fwd_10;completed_10;obs_price_date_20;obs_close_20;ret_fwd_20;completed_20,2026-05-17 21:57:04,USED,price_points=105
LOCAL_PRICE_SOURCE_12,D:\us-tech-quant\state\v18\V18_6C_CURRENT_TECHNICAL_TIMING_FORWARD_TRACKER.before_V18_6C_R1_20260517_221840.csv,YES,105,snapshot_price_date;ticker;yf_ticker;baseline_close;technical_timing_score;technical_signal;bb_status;rsi_status;kdj_status;bb_percent_b;bb_bandwidth;signal_bb_squeeze;rsi_14;kdj_k;kdj_d;kdj_j;volume_ratio_5_20;overheat_penalty;pullback_timing_bonus;breakout_confirmation_bonus;technical_warning_label;vix_date;vix_close;vix_regime;signal_watch_positive;signal_pullback_watch;signal_overheat_old;signal_breakout_continuation;signal_exhaustion_risk;signal_overheat_unclassified;official_decision_impact;tracker_added_at;obs_price_date_1;obs_close_1;ret_fwd_1;completed_1;obs_price_date_3;obs_close_3;ret_fwd_3;completed_3;obs_price_date_5;obs_close_5;ret_fwd_5;completed_5;obs_price_date_10;obs_close_10;ret_fwd_10;completed_10;obs_price_date_20;obs_close_20;ret_fwd_20;completed_20,2026-05-17 22:04:11,USED,price_points=105
LOCAL_PRICE_SOURCE_13,D:\us-tech-quant\state\v18\V18_6C_CURRENT_TECHNICAL_TIMING_FORWARD_TRACKER.before_V18_6C_R1_20260518_131343.csv,YES,105,snapshot_price_date;ticker;yf_ticker;baseline_close;technical_timing_score;technical_signal;bb_status;rsi_status;kdj_status;bb_percent_b;bb_bandwidth;signal_bb_squeeze;rsi_14;kdj_k;kdj_d;kdj_j;volume_ratio_5_20;overheat_penalty;pullback_timing_bonus;breakout_confirmation_bonus;technical_warning_label;vix_date;vix_close;vix_regime;signal_watch_positive;signal_pullback_watch;signal_overheat_old;signal_breakout_continuation;signal_exhaustion_risk;signal_overheat_unclassified;official_decision_impact;tracker_added_at;obs_price_date_1;obs_close_1;ret_fwd_1;completed_1;obs_price_date_3;obs_close_3;ret_fwd_3;completed_3;obs_price_date_5;obs_close_5;ret_fwd_5;completed_5;obs_price_date_10;obs_close_10;ret_fwd_10;completed_10;obs_price_date_20;obs_close_20;ret_fwd_20;completed_20,2026-05-17 22:18:40,USED,price_points=105
LOCAL_PRICE_SOURCE_14,D:\us-tech-quant\state\v18\V18_6C_CURRENT_TECHNICAL_TIMING_FORWARD_TRACKER.before_V18_6C_R1_20260518_164846.csv,YES,105,snapshot_price_date;ticker;yf_ticker;baseline_close;technical_timing_score;technical_signal;bb_status;rsi_status;kdj_status;bb_percent_b;bb_bandwidth;signal_bb_squeeze;rsi_14;kdj_k;kdj_d;kdj_j;volume_ratio_5_20;overheat_penalty;pullback_timing_bonus;breakout_confirmation_bonus;technical_warning_label;vix_date;vix_close;vix_regime;signal_watch_positive;signal_pullback_watch;signal_overheat_old;signal_breakout_continuation;signal_exhaustion_risk;signal_overheat_unclassified;official_decision_impact;tracker_added_at;obs_price_date_1;obs_close_1;ret_fwd_1;completed_1;obs_price_date_3;obs_close_3;ret_fwd_3;completed_3;obs_price_date_5;obs_close_5;ret_fwd_5;completed_5;obs_price_date_10;obs_close_10;ret_fwd_10;completed_10;obs_price_date_20;obs_close_20;ret_fwd_20;completed_20,2026-05-18 13:13:43,USED,price_points=105
LOCAL_PRICE_SOURCE_15,D:\us-tech-quant\state\v18\V18_6C_CURRENT_TECHNICAL_TIMING_FORWARD_TRACKER.before_V18_6C_R1_20260518_212608.csv,YES,105,snapshot_price_date;ticker;yf_ticker;baseline_close;technical_timing_score;technical_signal;bb_status;rsi_status;kdj_status;bb_percent_b;bb_bandwidth;signal_bb_squeeze;rsi_14;kdj_k;kdj_d;kdj_j;volume_ratio_5_20;overheat_penalty;pullback_timing_bonus;breakout_confirmation_bonus;technical_warning_label;vix_date;vix_close;vix_regime;signal_watch_positive;signal_pullback_watch;signal_overheat_old;signal_breakout_continuation;signal_exhaustion_risk;signal_overheat_unclassified;official_decision_impact;tracker_added_at;obs_price_date_1;obs_close_1;ret_fwd_1;completed_1;obs_price_date_3;obs_close_3;ret_fwd_3;completed_3;obs_price_date_5;obs_close_5;ret_fwd_5;completed_5;obs_price_date_10;obs_close_10;ret_fwd_10;completed_10;obs_price_date_20;obs_close_20;ret_fwd_20;completed_20,2026-05-18 16:48:46,USED,price_points=105
LOCAL_PRICE_SOURCE_16,D:\us-tech-quant\state\v18\V18_6C_CURRENT_TECHNICAL_TIMING_FORWARD_TRACKER.before_V18_6C_R1_20260518_213948.csv,YES,105,snapshot_price_date;ticker;yf_ticker;baseline_close;technical_timing_score;technical_signal;bb_status;rsi_status;kdj_status;bb_percent_b;bb_bandwidth;signal_bb_squeeze;rsi_14;kdj_k;kdj_d;kdj_j;volume_ratio_5_20;overheat_penalty;pullback_timing_bonus;breakout_confirmation_bonus;technical_warning_label;vix_date;vix_close;vix_regime;signal_watch_positive;signal_pullback_watch;signal_overheat_old;signal_breakout_continuation;signal_exhaustion_risk;signal_overheat_unclassified;official_decision_impact;tracker_added_at;obs_price_date_1;obs_close_1;ret_fwd_1;completed_1;obs_price_date_3;obs_close_3;ret_fwd_3;completed_3;obs_price_date_5;obs_close_5;ret_fwd_5;completed_5;obs_price_date_10;obs_close_10;ret_fwd_10;completed_10;obs_price_date_20;obs_close_20;ret_fwd_20;completed_20,2026-05-18 21:26:08,USED,price_points=105
LOCAL_PRICE_SOURCE_17,D:\us-tech-quant\state\v18\V18_6C_CURRENT_TECHNICAL_TIMING_FORWARD_TRACKER.before_V18_6C_R1_20260519_105708.csv,YES,105,snapshot_price_date;ticker;yf_ticker;baseline_close;technical_timing_score;technical_signal;bb_status;rsi_status;kdj_status;bb_percent_b;bb_bandwidth;signal_bb_squeeze;rsi_14;kdj_k;kdj_d;kdj_j;volume_ratio_5_20;overheat_penalty;pullback_timing_bonus;breakout_confirmation_bonus;technical_warning_label;vix_date;vix_close;vix_regime;signal_watch_positive;signal_pullback_watch;signal_overheat_old;signal_breakout_continuation;signal_exhaustion_risk;signal_overheat_unclassified;official_decision_impact;tracker_added_at;obs_price_date_1;obs_close_1;ret_fwd_1;completed_1;obs_price_date_3;obs_close_3;ret_fwd_3;completed_3;obs_price_date_5;obs_close_5;ret_fwd_5;completed_5;obs_price_date_10;obs_close_10;ret_fwd_10;completed_10;obs_price_date_20;obs_close_20;ret_fwd_20;completed_20,2026-05-18 21:39:48,USED,price_points=105
LOCAL_PRICE_SOURCE_18,D:\us-tech-quant\state\v18\V18_6C_CURRENT_TECHNICAL_TIMING_FORWARD_TRACKER.csv,YES,105,snapshot_price_date;ticker;yf_ticker;baseline_close;technical_timing_score;technical_signal;bb_status;rsi_status;kdj_status;bb_percent_b;bb_bandwidth;signal_bb_squeeze;rsi_14;kdj_k;kdj_d;kdj_j;volume_ratio_5_20;overheat_penalty;pullback_timing_bonus;breakout_confirmation_bonus;technical_warning_label;vix_date;vix_close;vix_regime;signal_watch_positive;signal_pullback_watch;signal_overheat_old;signal_breakout_continuation;signal_exhaustion_risk;signal_overheat_unclassified;official_decision_impact;tracker_added_at;obs_price_date_1;obs_close_1;ret_fwd_1;completed_1;obs_price_date_3;obs_close_3;ret_fwd_3;completed_3;obs_price_date_5;obs_close_5;ret_fwd_5;completed_5;obs_price_date_10;obs_close_10;ret_fwd_10;completed_10;obs_price_date_20;obs_close_20;ret_fwd_20;completed_20,2026-05-18 21:39:48,USED,price_points=105
LOCAL_PRICE_SOURCE_19,D:\us-tech-quant\state\v18\V18_6C_R1_TECHNICAL_TIMING_FORWARD_TRACKER_20260516_010850.csv,YES,104,snapshot_price_date;ticker;yf_ticker;baseline_close;technical_timing_score;technical_signal;bb_status;rsi_status;kdj_status;bb_percent_b;bb_bandwidth;signal_bb_squeeze;rsi_14;kdj_k;kdj_d;kdj_j;volume_ratio_5_20;overheat_penalty;pullback_timing_bonus;breakout_confirmation_bonus;technical_warning_label;vix_date;vix_close;vix_regime;signal_watch_positive;signal_pullback_watch;signal_overheat_old;signal_breakout_continuation;signal_exhaustion_risk;signal_overheat_unclassified;official_decision_impact;tracker_added_at;obs_price_date_1;obs_close_1;ret_fwd_1;completed_1;obs_price_date_3;obs_close_3;ret_fwd_3;completed_3;obs_price_date_5;obs_close_5;ret_fwd_5;completed_5;obs_price_date_10;obs_close_10;ret_fwd_10;completed_10;obs_price_date_20;obs_close_20;ret_fwd_20;completed_20,2026-05-16 01:08:50,USED,price_points=104
LOCAL_PRICE_SOURCE_20,D:\us-tech-quant\state\v18\V18_6C_R1_TECHNICAL_TIMING_FORWARD_TRACKER_20260516_011753.csv,YES,104,snapshot_price_date;ticker;yf_ticker;baseline_close;technical_timing_score;technical_signal;bb_status;rsi_status;kdj_status;bb_percent_b;bb_bandwidth;signal_bb_squeeze;rsi_14;kdj_k;kdj_d;kdj_j;volume_ratio_5_20;overheat_penalty;pullback_timing_bonus;breakout_confirmation_bonus;technical_warning_label;vix_date;vix_close;vix_regime;signal_watch_positive;signal_pullback_watch;signal_overheat_old;signal_breakout_continuation;signal_exhaustion_risk;signal_overheat_unclassified;official_decision_impact;tracker_added_at;obs_price_date_1;obs_close_1;ret_fwd_1;completed_1;obs_price_date_3;obs_close_3;ret_fwd_3;completed_3;obs_price_date_5;obs_close_5;ret_fwd_5;completed_5;obs_price_date_10;obs_close_10;ret_fwd_10;completed_10;obs_price_date_20;obs_close_20;ret_fwd_20;completed_20,2026-05-16 01:17:53,USED,price_points=104
LOCAL_PRICE_SOURCE_21,D:\us-tech-quant\state\v18\V18_6C_R1_TECHNICAL_TIMING_FORWARD_TRACKER_20260516_020525.csv,YES,104,snapshot_price_date;ticker;yf_ticker;baseline_close;technical_timing_score;technical_signal;bb_status;rsi_status;kdj_status;bb_percent_b;bb_bandwidth;signal_bb_squeeze;rsi_14;kdj_k;kdj_d;kdj_j;volume_ratio_5_20;overheat_penalty;pullback_timing_bonus;breakout_confirmation_bonus;technical_warning_label;vix_date;vix_close;vix_regime;signal_watch_positive;signal_pullback_watch;signal_overheat_old;signal_breakout_continuation;signal_exhaustion_risk;signal_overheat_unclassified;official_decision_impact;tracker_added_at;obs_price_date_1;obs_close_1;ret_fwd_1;completed_1;obs_price_date_3;obs_close_3;ret_fwd_3;completed_3;obs_price_date_5;obs_close_5;ret_fwd_5;completed_5;obs_price_date_10;obs_close_10;ret_fwd_10;completed_10;obs_price_date_20;obs_close_20;ret_fwd_20;completed_20,2026-05-16 02:05:25,USED,price_points=104
LOCAL_PRICE_SOURCE_22,D:\us-tech-quant\state\v18\V18_6C_R1_TECHNICAL_TIMING_FORWARD_TRACKER_20260516_024302.csv,YES,104,snapshot_price_date;ticker;yf_ticker;baseline_close;technical_timing_score;technical_signal;bb_status;rsi_status;kdj_status;bb_percent_b;bb_bandwidth;signal_bb_squeeze;rsi_14;kdj_k;kdj_d;kdj_j;volume_ratio_5_20;overheat_penalty;pullback_timing_bonus;breakout_confirmation_bonus;technical_warning_label;vix_date;vix_close;vix_regime;signal_watch_positive;signal_pullback_watch;signal_overheat_old;signal_breakout_continuation;signal_exhaustion_risk;signal_overheat_unclassified;official_decision_impact;tracker_added_at;obs_price_date_1;obs_close_1;ret_fwd_1;completed_1;obs_price_date_3;obs_close_3;ret_fwd_3;completed_3;obs_price_date_5;obs_close_5;ret_fwd_5;completed_5;obs_price_date_10;obs_close_10;ret_fwd_10;completed_10;obs_price_date_20;obs_close_20;ret_fwd_20;completed_20,2026-05-16 02:43:02,USED,price_points=104
LOCAL_PRICE_SOURCE_23,D:\us-tech-quant\state\v18\V18_6C_R1_TECHNICAL_TIMING_FORWARD_TRACKER_20260516_135023.csv,YES,105,snapshot_price_date;ticker;yf_ticker;baseline_close;technical_timing_score;technical_signal;bb_status;rsi_status;kdj_status;bb_percent_b;bb_bandwidth;signal_bb_squeeze;rsi_14;kdj_k;kdj_d;kdj_j;volume_ratio_5_20;overheat_penalty;pullback_timing_bonus;breakout_confirmation_bonus;technical_warning_label;vix_date;vix_close;vix_regime;signal_watch_positive;signal_pullback_watch;signal_overheat_old;signal_breakout_continuation;signal_exhaustion_risk;signal_overheat_unclassified;official_decision_impact;tracker_added_at;obs_price_date_1;obs_close_1;ret_fwd_1;completed_1;obs_price_date_3;obs_close_3;ret_fwd_3;completed_3;obs_price_date_5;obs_close_5;ret_fwd_5;completed_5;obs_price_date_10;obs_close_10;ret_fwd_10;completed_10;obs_price_date_20;obs_close_20;ret_fwd_20;completed_20,2026-05-16 13:50:23,USED,price_points=105
LOCAL_PRICE_SOURCE_24,D:\us-tech-quant\state\v18\V18_6C_R1_TECHNICAL_TIMING_FORWARD_TRACKER_20260516_155316.csv,YES,105,snapshot_price_date;ticker;yf_ticker;baseline_close;technical_timing_score;technical_signal;bb_status;rsi_status;kdj_status;bb_percent_b;bb_bandwidth;signal_bb_squeeze;rsi_14;kdj_k;kdj_d;kdj_j;volume_ratio_5_20;overheat_penalty;pullback_timing_bonus;breakout_confirmation_bonus;technical_warning_label;vix_date;vix_close;vix_regime;signal_watch_positive;signal_pullback_watch;signal_overheat_old;signal_breakout_continuation;signal_exhaustion_risk;signal_overheat_unclassified;official_decision_impact;tracker_added_at;obs_price_date_1;obs_close_1;ret_fwd_1;completed_1;obs_price_date_3;obs_close_3;ret_fwd_3;completed_3;obs_price_date_5;obs_close_5;ret_fwd_5;completed_5;obs_price_date_10;obs_close_10;ret_fwd_10;completed_10;obs_price_date_20;obs_close_20;ret_fwd_20;completed_20,2026-05-16 15:53:16,USED,price_points=105
LOCAL_PRICE_SOURCE_25,D:\us-tech-quant\state\v18\V18_6C_R1_TECHNICAL_TIMING_FORWARD_TRACKER_20260517_215704.csv,YES,105,snapshot_price_date;ticker;yf_ticker;baseline_close;technical_timing_score;technical_signal;bb_status;rsi_status;kdj_status;bb_percent_b;bb_bandwidth;signal_bb_squeeze;rsi_14;kdj_k;kdj_d;kdj_j;volume_ratio_5_20;overheat_penalty;pullback_timing_bonus;breakout_confirmation_bonus;technical_warning_label;vix_date;vix_close;vix_regime;signal_watch_positive;signal_pullback_watch;signal_overheat_old;signal_breakout_continuation;signal_exhaustion_risk;signal_overheat_unclassified;official_decision_impact;tracker_added_at;obs_price_date_1;obs_close_1;ret_fwd_1;completed_1;obs_price_date_3;obs_close_3;ret_fwd_3;completed_3;obs_price_date_5;obs_close_5;ret_fwd_5;completed_5;obs_price_date_10;obs_close_10;ret_fwd_10;completed_10;obs_price_date_20;obs_close_20;ret_fwd_20;completed_20,2026-05-17 21:57:04,USED,price_points=105
LOCAL_PRICE_SOURCE_26,D:\us-tech-quant\state\v18\V18_6C_R1_TECHNICAL_TIMING_FORWARD_TRACKER_20260517_220411.csv,YES,105,snapshot_price_date;ticker;yf_ticker;baseline_close;technical_timing_score;technical_signal;bb_status;rsi_status;kdj_status;bb_percent_b;bb_bandwidth;signal_bb_squeeze;rsi_14;kdj_k;kdj_d;kdj_j;volume_ratio_5_20;overheat_penalty;pullback_timing_bonus;breakout_confirmation_bonus;technical_warning_label;vix_date;vix_close;vix_regime;signal_watch_positive;signal_pullback_watch;signal_overheat_old;signal_breakout_continuation;signal_exhaustion_risk;signal_overheat_unclassified;official_decision_impact;tracker_added_at;obs_price_date_1;obs_close_1;ret_fwd_1;completed_1;obs_price_date_3;obs_close_3;ret_fwd_3;completed_3;obs_price_date_5;obs_close_5;ret_fwd_5;completed_5;obs_price_date_10;obs_close_10;ret_fwd_10;completed_10;obs_price_date_20;obs_close_20;ret_fwd_20;completed_20,2026-05-17 22:04:11,USED,price_points=105
LOCAL_PRICE_SOURCE_27,D:\us-tech-quant\state\v18\V18_6C_R1_TECHNICAL_TIMING_FORWARD_TRACKER_20260517_221840.csv,YES,105,snapshot_price_date;ticker;yf_ticker;baseline_close;technical_timing_score;technical_signal;bb_status;rsi_status;kdj_status;bb_percent_b;bb_bandwidth;signal_bb_squeeze;rsi_14;kdj_k;kdj_d;kdj_j;volume_ratio_5_20;overheat_penalty;pullback_timing_bonus;breakout_confirmation_bonus;technical_warning_label;vix_date;vix_close;vix_regime;signal_watch_positive;signal_pullback_watch;signal_overheat_old;signal_breakout_continuation;signal_exhaustion_risk;signal_overheat_unclassified;official_decision_impact;tracker_added_at;obs_price_date_1;obs_close_1;ret_fwd_1;completed_1;obs_price_date_3;obs_close_3;ret_fwd_3;completed_3;obs_price_date_5;obs_close_5;ret_fwd_5;completed_5;obs_price_date_10;obs_close_10;ret_fwd_10;completed_10;obs_price_date_20;obs_close_20;ret_fwd_20;completed_20,2026-05-17 22:18:40,USED,price_points=105
