source_path,size_mb,mode,action,skip_reason,archive_group,zip_path,zip_member_path,source_exists_before,source_exists_after,zip_verified,included_in_zip,current_alias_violation,protected_path_violation,source_code_violation,validation_status
outputs/v17/raw105_decision/v17_8B_raw105_decision_readable_panel.csv,0.027,APPLY,DELETED,,OLD_GENERATED_REPORTS,archive/legacy_cleanup/V18_20G_verified_legacy_archive_20260519_200428/V18_20G_old_generated_reports.zip,outputs/v17/raw105_decision/v17_8B_raw105_decision_readable_panel.csv,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,OK
archive/deprecated/v18_4K_workspace_cleanup_20260515_172036/outputs/v16/universe/V16_SECOND_STAGE_WATCHLIST.csv,0.026,APPLY,DELETED,,OLD_GENERATED_REPORTS,archive/legacy_cleanup/V18_20G_verified_legacy_archive_20260519_200428/V18_20G_old_generated_reports.zip,archive/deprecated/v18_4K_workspace_cleanup_20260515_172036/outputs/v16/universe/V16_SECOND_STAGE_WATCHLIST.csv,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,OK
outputs/v17/raw_universe_audit/v17_7_raw_universe_full_screen_audit.csv,0.026,APPLY,DELETED,,OLD_GENERATED_REPORTS,archive/legacy_cleanup/V18_20G_verified_legacy_archive_20260519_200428/V18_20G_old_generated_reports.zip,outputs/v17/raw_universe_audit/v17_7_raw_universe_full_screen_audit.csv,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,OK
archive/deprecated/v18_4K_workspace_cleanup_20260515_172036/outputs/v17/raw_universe_audit/v17_7B_universe_semantic_audit.csv,0.024,APPLY,DELETED,,OLD_GENERATED_REPORTS,archive/legacy_cleanup/V18_20G_verified_legacy_archive_20260519_200428/V18_20G_old_generated_reports.zip,archive/deprecated/v18_4K_workspace_cleanup_20260515_172036/outputs/v17/raw_universe_audit/v17_7B_universe_semantic_audit.csv,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,OK
outputs/v17/raw_universe_audit/v17_7B_universe_semantic_audit.csv,0.024,APPLY,DELETED,,OLD_GENERATED_REPORTS,archive/legacy_cleanup/V18_20G_verified_legacy_archive_20260519_200428/V18_20G_old_generated_reports.zip,outputs/v17/raw_universe_audit/v17_7B_universe_semantic_audit.csv,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,OK
archive/deprecated/v18_4K_workspace_cleanup_20260515_172036/outputs/v16/universe/V16_FULL_UNIVERSE_SCREENED.csv,0.023,APPLY,DELETED,,OLD_GENERATED_REPORTS,archive/legacy_cleanup/V18_20G_verified_legacy_archive_20260519_200428/V18_20G_old_generated_reports.zip,archive/deprecated/v18_4K_workspace_cleanup_20260515_172036/outputs/v16/universe/V16_FULL_UNIVERSE_SCREENED.csv,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,OK
archive/deprecated/v18_4K_workspace_cleanup_20260515_172036/outputs/v17/raw_universe_audit/v17_7_raw_universe_full_screen_audit.csv,0.021,APPLY,DELETED,,OLD_GENERATED_REPORTS,archive/legacy_cleanup/V18_20G_verified_legacy_archive_20260519_200428/V18_20G_old_generated_reports.zip,archive/deprecated/v18_4K_workspace_cleanup_20260515_172036/outputs/v17/raw_universe_audit/v17_7_raw_universe_full_screen_audit.csv,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,OK
archive/deprecated/v18_4K_workspace_cleanup_20260515_172036/outputs/v17/raw_universe_audit/v17_7F_B_price_freshness_acceptance.csv,0.019,APPLY,DELETED,,OLD_GENERATED_REPORTS,archive/legacy_cleanup/V18_20G_verified_legacy_archive_20260519_200428/V18_20G_old_generated_reports.zip,archive/deprecated/v18_4K_workspace_cleanup_20260515_172036/outputs/v17/raw_universe_audit/v17_7F_B_price_freshness_acceptance.csv,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,OK
outputs/v17/raw_universe_audit/v17_7D_main_compute_delta_audit.csv,0.019,APPLY,DELETED,,OLD_GENERATED_REPORTS,archive/legacy_cleanup/V18_20G_verified_legacy_archive_20260519_200428/V18_20G_old_generated_reports.zip,outputs/v17/raw_universe_audit/v17_7D_main_compute_delta_audit.csv,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,OK
outputs/v17/raw_universe_audit/v17_7F_B_price_freshness_acceptance.csv,0.018,APPLY,DELETED,,OLD_GENERATED_REPORTS,archive/legacy_cleanup/V18_20G_verified_legacy_archive_20260519_200428/V18_20G_old_generated_reports.zip,outputs/v17/raw_universe_audit/v17_7F_B_price_freshness_acceptance.csv,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,OK
