ticker,in_total_universe,in_current_candidates,in_latest_signal_freeze,in_factor_pack,in_technical_timing,in_recent_rolling_scan,price_status,freshness_status,latest_price_date,latest_scan_date,exclusion_bucket,exclusion_reason,evidence_sources
AAPL,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FULL_HISTORY_AVAILABLE,NOT_UPDATED_BY_V18_16A,2026-05-18,2026-05-27,IN_CURRENT_CANDIDATES,Ticker is present in current ranked candidates.,outputs/v18/candidates/V18_CURRENT_FULL_RANKED_CANDIDATES.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;outputs/v18/universe/V18_CURRENT_ROLLING_SCAN_PLAN.csv;state/v18/forward_test/V18_DAILY_SIGNAL_FREEZE_LEDGER.csv;state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv
ABR,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FULL_HISTORY_AVAILABLE,NOT_UPDATED_BY_V18_16A,2026-05-20,2026-05-27,IN_CURRENT_CANDIDATES,Ticker is present in current ranked candidates.,outputs/v18/candidates/V18_CURRENT_FULL_RANKED_CANDIDATES.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;outputs/v18/universe/V18_CURRENT_ROLLING_SCAN_PLAN.csv;state/v18/forward_test/V18_DAILY_SIGNAL_FREEZE_LEDGER.csv;state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv
ACLS,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FULL_HISTORY_AVAILABLE,NOT_UPDATED_BY_V18_16A,2026-05-18,2026-05-27,IN_CURRENT_CANDIDATES,Ticker is present in current ranked candidates.,outputs/v18/candidates/V18_CURRENT_FULL_RANKED_CANDIDATES.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;outputs/v18/universe/V18_CURRENT_ROLLING_SCAN_PLAN.csv;state/v18/forward_test/V18_DAILY_SIGNAL_FREEZE_LEDGER.csv;state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv
ACM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FULL_HISTORY_AVAILABLE,NOT_UPDATED_BY_V18_16A,2026-05-18,2026-05-27,IN_CURRENT_CANDIDATES,Ticker is present in current ranked candidates.,outputs/v18/candidates/V18_CURRENT_FULL_RANKED_CANDIDATES.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;outputs/v18/universe/V18_CURRENT_ROLLING_SCAN_PLAN.csv;state/v18/forward_test/V18_DAILY_SIGNAL_FREEZE_LEDGER.csv;state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv
ACMR,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FULL_HISTORY_AVAILABLE,NOT_UPDATED_BY_V18_16A,2026-05-18,2026-05-27,IN_CURRENT_CANDIDATES,Ticker is present in current ranked candidates.,outputs/v18/candidates/V18_CURRENT_FULL_RANKED_CANDIDATES.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;outputs/v18/universe/V18_CURRENT_ROLLING_SCAN_PLAN.csv;state/v18/forward_test/V18_DAILY_SIGNAL_FREEZE_LEDGER.csv;state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv
ADBE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FULL_HISTORY_AVAILABLE,NOT_UPDATED_BY_V18_16A,2026-05-20,2026-05-27,IN_CURRENT_CANDIDATES,Ticker is present in current ranked candidates.,outputs/v18/candidates/V18_CURRENT_FULL_RANKED_CANDIDATES.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;outputs/v18/universe/V18_CURRENT_ROLLING_SCAN_PLAN.csv;state/v18/forward_test/V18_DAILY_SIGNAL_FREEZE_LEDGER.csv;state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv
ADMA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FULL_HISTORY_AVAILABLE,NOT_UPDATED_BY_V18_16A,2026-05-20,2026-05-27,IN_CURRENT_CANDIDATES,Ticker is present in current ranked candidates.,outputs/v18/candidates/V18_CURRENT_FULL_RANKED_CANDIDATES.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;outputs/v18/universe/V18_CURRENT_ROLLING_SCAN_PLAN.csv;state/v18/forward_test/V18_DAILY_SIGNAL_FREEZE_LEDGER.csv;state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv
ADSK,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FULL_HISTORY_AVAILABLE,NOT_UPDATED_BY_V18_16A,2026-05-20,2026-05-27,IN_CURRENT_CANDIDATES,Ticker is present in current ranked candidates.,outputs/v18/candidates/V18_CURRENT_FULL_RANKED_CANDIDATES.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;outputs/v18/universe/V18_CURRENT_ROLLING_SCAN_PLAN.csv;state/v18/forward_test/V18_DAILY_SIGNAL_FREEZE_LEDGER.csv;state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv
AEHR,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FULL_HISTORY_AVAILABLE,NOT_UPDATED_BY_V18_16A,2026-05-18,2026-05-27,IN_CURRENT_CANDIDATES,Ticker is present in current ranked candidates.,outputs/v18/candidates/V18_CURRENT_FULL_RANKED_CANDIDATES.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;outputs/v18/universe/V18_CURRENT_ROLLING_SCAN_PLAN.csv;state/v18/forward_test/V18_DAILY_SIGNAL_FREEZE_LEDGER.csv;state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv
AEIS,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FULL_HISTORY_AVAILABLE,NOT_UPDATED_BY_V18_16A,2026-05-20,2026-05-27,IN_CURRENT_CANDIDATES,Ticker is present in current ranked candidates.,outputs/v18/candidates/V18_CURRENT_FULL_RANKED_CANDIDATES.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;outputs/v18/universe/V18_CURRENT_ROLLING_SCAN_PLAN.csv;state/v18/forward_test/V18_DAILY_SIGNAL_FREEZE_LEDGER.csv;state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv
AEVA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FULL_HISTORY_AVAILABLE,NOT_UPDATED_BY_V18_16A,2026-05-20,2026-05-27,IN_CURRENT_CANDIDATES,Ticker is present in current ranked candidates.,outputs/v18/candidates/V18_CURRENT_FULL_RANKED_CANDIDATES.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;outputs/v18/universe/V18_CURRENT_ROLLING_SCAN_PLAN.csv;state/v18/forward_test/V18_DAILY_SIGNAL_FREEZE_LEDGER.csv;state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv
AFRM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FULL_HISTORY_AVAILABLE,NOT_UPDATED_BY_V18_16A,2026-05-20,2026-05-27,IN_CURRENT_CANDIDATES,Ticker is present in current ranked candidates.,outputs/v18/candidates/V18_CURRENT_FULL_RANKED_CANDIDATES.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;outputs/v18/universe/V18_CURRENT_ROLLING_SCAN_PLAN.csv;state/v18/forward_test/V18_DAILY_SIGNAL_FREEZE_LEDGER.csv;state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv
AGX,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FULL_HISTORY_AVAILABLE,NOT_UPDATED_BY_V18_16A,2026-05-20,2026-05-27,IN_CURRENT_CANDIDATES,Ticker is present in current ranked candidates.,outputs/v18/candidates/V18_CURRENT_FULL_RANKED_CANDIDATES.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;outputs/v18/universe/V18_CURRENT_ROLLING_SCAN_PLAN.csv;state/v18/forward_test/V18_DAILY_SIGNAL_FREEZE_LEDGER.csv;state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv
ALAB,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FULL_HISTORY_AVAILABLE,NOT_UPDATED_BY_V18_16A,2026-05-18,2026-05-27,IN_CURRENT_CANDIDATES,Ticker is present in current ranked candidates.,outputs/v18/candidates/V18_CURRENT_FULL_RANKED_CANDIDATES.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;outputs/v18/universe/V18_CURRENT_ROLLING_SCAN_PLAN.csv;state/v18/forward_test/V18_DAILY_SIGNAL_FREEZE_LEDGER.csv;state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv
ALM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FULL_HISTORY_AVAILABLE,NOT_UPDATED_BY_V18_16A,2026-05-20,2026-05-27,IN_CURRENT_CANDIDATES,Ticker is present in current ranked candidates.,outputs/v18/candidates/V18_CURRENT_FULL_RANKED_CANDIDATES.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;outputs/v18/universe/V18_CURRENT_ROLLING_SCAN_PLAN.csv;state/v18/forward_test/V18_DAILY_SIGNAL_FREEZE_LEDGER.csv;state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv
AMAT,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FULL_HISTORY_AVAILABLE,NOT_UPDATED_BY_V18_16A,2026-05-18,2026-05-27,IN_CURRENT_CANDIDATES,Ticker is present in current ranked candidates.,outputs/v18/candidates/V18_CURRENT_FULL_RANKED_CANDIDATES.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;outputs/v18/universe/V18_CURRENT_ROLLING_SCAN_PLAN.csv;state/v18/forward_test/V18_DAILY_SIGNAL_FREEZE_LEDGER.csv;state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv
AMC,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FULL_HISTORY_AVAILABLE,NOT_UPDATED_BY_V18_16A,2026-05-21,2026-05-27,IN_CURRENT_CANDIDATES,Ticker is present in current ranked candidates.,outputs/v18/candidates/V18_CURRENT_FULL_RANKED_CANDIDATES.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;outputs/v18/universe/V18_CURRENT_ROLLING_SCAN_PLAN.csv;state/v18/forward_test/V18_DAILY_SIGNAL_FREEZE_LEDGER.csv;state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv
AMD,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FULL_HISTORY_AVAILABLE,NOT_UPDATED_BY_V18_16A,2026-05-18,2026-05-27,IN_CURRENT_CANDIDATES,Ticker is present in current ranked candidates.,outputs/v18/candidates/V18_CURRENT_FULL_RANKED_CANDIDATES.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;outputs/v18/universe/V18_CURRENT_ROLLING_SCAN_PLAN.csv;state/v18/forward_test/V18_DAILY_SIGNAL_FREEZE_LEDGER.csv;state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv
AMKR,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FULL_HISTORY_AVAILABLE,NOT_UPDATED_BY_V18_16A,2026-05-18,2026-05-27,IN_CURRENT_CANDIDATES,Ticker is present in current ranked candidates.,outputs/v18/candidates/V18_CURRENT_FULL_RANKED_CANDIDATES.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;outputs/v18/universe/V18_CURRENT_ROLLING_SCAN_PLAN.csv;state/v18/forward_test/V18_DAILY_SIGNAL_FREEZE_LEDGER.csv;state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv
AMZN,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FULL_HISTORY_AVAILABLE,NOT_UPDATED_BY_V18_16A,2026-05-18,2026-05-27,IN_CURRENT_CANDIDATES,Ticker is present in current ranked candidates.,outputs/v18/candidates/V18_CURRENT_FULL_RANKED_CANDIDATES.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;outputs/v18/universe/V18_CURRENT_ROLLING_SCAN_PLAN.csv;state/v18/forward_test/V18_DAILY_SIGNAL_FREEZE_LEDGER.csv;state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv
ANET,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FULL_HISTORY_AVAILABLE,NOT_UPDATED_BY_V18_16A,2026-05-18,2026-05-27,IN_CURRENT_CANDIDATES,Ticker is present in current ranked candidates.,outputs/v18/candidates/V18_CURRENT_FULL_RANKED_CANDIDATES.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;outputs/v18/universe/V18_CURRENT_ROLLING_SCAN_PLAN.csv;state/v18/forward_test/V18_DAILY_SIGNAL_FREEZE_LEDGER.csv;state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv
APG,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FULL_HISTORY_AVAILABLE,NOT_UPDATED_BY_V18_16A,2026-05-20,2026-05-27,IN_CURRENT_CANDIDATES,Ticker is present in current ranked candidates.,outputs/v18/candidates/V18_CURRENT_FULL_RANKED_CANDIDATES.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;outputs/v18/universe/V18_CURRENT_ROLLING_SCAN_PLAN.csv;state/v18/forward_test/V18_DAILY_SIGNAL_FREEZE_LEDGER.csv;state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv
APH,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FULL_HISTORY_AVAILABLE,NOT_UPDATED_BY_V18_16A,2026-05-18,2026-05-27,IN_CURRENT_CANDIDATES,Ticker is present in current ranked candidates.,outputs/v18/candidates/V18_CURRENT_FULL_RANKED_CANDIDATES.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;outputs/v18/universe/V18_CURRENT_ROLLING_SCAN_PLAN.csv;state/v18/forward_test/V18_DAILY_SIGNAL_FREEZE_LEDGER.csv;state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv
APLD,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FULL_HISTORY_AVAILABLE,NOT_UPDATED_BY_V18_16A,2026-05-21,2026-05-27,IN_CURRENT_CANDIDATES,Ticker is present in current ranked candidates.,outputs/v18/candidates/V18_CURRENT_FULL_RANKED_CANDIDATES.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;outputs/v18/universe/V18_CURRENT_ROLLING_SCAN_PLAN.csv;state/v18/forward_test/V18_DAILY_SIGNAL_FREEZE_LEDGER.csv;state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv
APO,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FULL_HISTORY_AVAILABLE,NOT_UPDATED_BY_V18_16A,2026-05-20,2026-05-27,IN_CURRENT_CANDIDATES,Ticker is present in current ranked candidates.,outputs/v18/candidates/V18_CURRENT_FULL_RANKED_CANDIDATES.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;outputs/v18/universe/V18_CURRENT_ROLLING_SCAN_PLAN.csv;state/v18/forward_test/V18_DAILY_SIGNAL_FREEZE_LEDGER.csv;state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv
APP,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FULL_HISTORY_AVAILABLE,NOT_UPDATED_BY_V18_16A,2026-05-20,2026-05-27,IN_CURRENT_CANDIDATES,Ticker is present in current ranked candidates.,outputs/v18/candidates/V18_CURRENT_FULL_RANKED_CANDIDATES.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;outputs/v18/universe/V18_CURRENT_ROLLING_SCAN_PLAN.csv;state/v18/forward_test/V18_DAILY_SIGNAL_FREEZE_LEDGER.csv;state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv
ARGT,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FULL_HISTORY_AVAILABLE,NOT_UPDATED_BY_V18_16A,2026-05-20,2026-05-27,IN_CURRENT_CANDIDATES,Ticker is present in current ranked candidates.,outputs/v18/candidates/V18_CURRENT_FULL_RANKED_CANDIDATES.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;outputs/v18/universe/V18_CURRENT_ROLLING_SCAN_PLAN.csv;state/v18/forward_test/V18_DAILY_SIGNAL_FREEZE_LEDGER.csv;state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv
ARM,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FULL_HISTORY_AVAILABLE,NOT_UPDATED_BY_V18_16A,2026-05-18,2026-05-27,IN_CURRENT_CANDIDATES,Ticker is present in current ranked candidates.,outputs/v18/candidates/V18_CURRENT_FULL_RANKED_CANDIDATES.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;outputs/v18/universe/V18_CURRENT_ROLLING_SCAN_PLAN.csv;state/v18/forward_test/V18_DAILY_SIGNAL_FREEZE_LEDGER.csv;state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv
ASML,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FULL_HISTORY_AVAILABLE,NOT_UPDATED_BY_V18_16A,2026-05-18,2026-05-27,IN_CURRENT_CANDIDATES,Ticker is present in current ranked candidates.,outputs/v18/candidates/V18_CURRENT_FULL_RANKED_CANDIDATES.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;outputs/v18/universe/V18_CURRENT_ROLLING_SCAN_PLAN.csv;state/v18/forward_test/V18_DAILY_SIGNAL_FREEZE_LEDGER.csv;state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv
AVGO,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FULL_HISTORY_AVAILABLE,NOT_UPDATED_BY_V18_16A,2026-05-18,2026-05-27,IN_CURRENT_CANDIDATES,Ticker is present in current ranked candidates.,outputs/v18/candidates/V18_CURRENT_FULL_RANKED_CANDIDATES.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;outputs/v18/universe/V18_CURRENT_ROLLING_SCAN_PLAN.csv;state/v18/forward_test/V18_DAILY_SIGNAL_FREEZE_LEDGER.csv;state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv
AXON,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FULL_HISTORY_AVAILABLE,NOT_UPDATED_BY_V18_16A,2026-05-20,2026-05-27,IN_CURRENT_CANDIDATES,Ticker is present in current ranked candidates.,outputs/v18/candidates/V18_CURRENT_FULL_RANKED_CANDIDATES.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;outputs/v18/universe/V18_CURRENT_ROLLING_SCAN_PLAN.csv;state/v18/forward_test/V18_DAILY_SIGNAL_FREEZE_LEDGER.csv;state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv
BABA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FULL_HISTORY_AVAILABLE,NOT_UPDATED_BY_V18_16A,2026-05-20,2026-05-27,IN_CURRENT_CANDIDATES,Ticker is present in current ranked candidates.,outputs/v18/candidates/V18_CURRENT_FULL_RANKED_CANDIDATES.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;outputs/v18/universe/V18_CURRENT_ROLLING_SCAN_PLAN.csv;state/v18/forward_test/V18_DAILY_SIGNAL_FREEZE_LEDGER.csv;state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv
BAC,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FULL_HISTORY_AVAILABLE,NOT_UPDATED_BY_V18_16A,2026-05-20,2026-05-27,IN_CURRENT_CANDIDATES,Ticker is present in current ranked candidates.,outputs/v18/candidates/V18_CURRENT_FULL_RANKED_CANDIDATES.csv;outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;outputs/v18/universe/V18_CURRENT_ROLLING_SCAN_PLAN.csv;state/v18/forward_test/V18_DAILY_SIGNAL_FREEZE_LEDGER.csv;state/v18/universe/V18_UNIVERSE_ROLLING_STATE.csv
