audit_item,status,current_ranked_candidate_source_file,ranking_source_status,sort_column_or_inferred_sort_columns,score_columns_present,factor_related_columns_present,missing_expected_factor_columns,all_ranked_candidates_have_scores,ranking_appears_score_based_or_file_order,current_or_stale,fast_mode_prior_score_read_risk,related_source_outputs,source_script_references,note
TOP20_RANKED_TICKER_03,PRESENT_BUT_NOT_VERIFIED_USED,outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,FOUND,rank ASC,composite_candidate_score;primary_score_source_files;score_source_status;score_source_files;score_source_columns,composite_candidate_score=23.385270;primary_score_source_files=outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;score_source_status=OK_SCORE_SOURCE_FOUND;score_source_files=outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;score_source_columns=factor_pack_rank;factor_pack_score;overheat_penalty;technical_timing_score;volatility_penalty,trend;momentum;relative_strength;volatility,TRUE,FILE_ORDER_OR_UNKNOWN,CURRENT_OR_RECENT,STALE_OR_UNKNOWN,latest_v18_13b_ranked_candidate_output=outputs/v18/candidates/V18_13B_CURRENT_RANKED_CANDIDATES_INPUT_AUDIT.csv; latest_v18_13c_unified_ranked_output=outputs/v18/read_center/V18_13C_CURRENT_UNIFIED_DAILY_WITH_RANKED_CANDIDATES_INPUT_AUDIT.csv; latest_v18_14b_current_daily_output=outputs/v18/ops/V18_14B_CURRENT_DAILY_COMMAND_CENTER_INPUT_AUDIT.csv,,CAMT
TOP20_RANKED_TICKER_04,PRESENT_BUT_NOT_VERIFIED_USED,outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,FOUND,rank ASC,composite_candidate_score;primary_score_source_files;score_source_status;score_source_files;score_source_columns,composite_candidate_score=23.381905;primary_score_source_files=outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;score_source_status=OK_SCORE_SOURCE_FOUND;score_source_files=outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;score_source_columns=factor_pack_rank;factor_pack_score;overheat_penalty;technical_timing_score;volatility_penalty,trend;momentum;relative_strength;volatility,TRUE,FILE_ORDER_OR_UNKNOWN,CURRENT_OR_RECENT,STALE_OR_UNKNOWN,latest_v18_13b_ranked_candidate_output=outputs/v18/candidates/V18_13B_CURRENT_RANKED_CANDIDATES_INPUT_AUDIT.csv; latest_v18_13c_unified_ranked_output=outputs/v18/read_center/V18_13C_CURRENT_UNIFIED_DAILY_WITH_RANKED_CANDIDATES_INPUT_AUDIT.csv; latest_v18_14b_current_daily_output=outputs/v18/ops/V18_14B_CURRENT_DAILY_COMMAND_CENTER_INPUT_AUDIT.csv,,ASML
TOP20_RANKED_TICKER_05,PRESENT_BUT_NOT_VERIFIED_USED,outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,FOUND,rank ASC,composite_candidate_score;primary_score_source_files;score_source_status;score_source_files;score_source_columns,composite_candidate_score=20.464444;primary_score_source_files=outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;score_source_status=OK_SCORE_SOURCE_FOUND;score_source_files=outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;score_source_columns=factor_pack_rank;factor_pack_score;overheat_penalty;technical_timing_score;volatility_penalty,trend;momentum;relative_strength;volatility,TRUE,FILE_ORDER_OR_UNKNOWN,CURRENT_OR_RECENT,STALE_OR_UNKNOWN,latest_v18_13b_ranked_candidate_output=outputs/v18/candidates/V18_13B_CURRENT_RANKED_CANDIDATES_INPUT_AUDIT.csv; latest_v18_13c_unified_ranked_output=outputs/v18/read_center/V18_13C_CURRENT_UNIFIED_DAILY_WITH_RANKED_CANDIDATES_INPUT_AUDIT.csv; latest_v18_14b_current_daily_output=outputs/v18/ops/V18_14B_CURRENT_DAILY_COMMAND_CENTER_INPUT_AUDIT.csv,,CEG
TOP20_RANKED_TICKER_06,PRESENT_BUT_NOT_VERIFIED_USED,outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,FOUND,rank ASC,composite_candidate_score;primary_score_source_files;score_source_status;score_source_files;score_source_columns,composite_candidate_score=17.866286;primary_score_source_files=outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;score_source_status=OK_SCORE_SOURCE_FOUND;score_source_files=outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;score_source_columns=factor_pack_rank;factor_pack_score;overheat_penalty;technical_timing_score;volatility_penalty,trend;momentum;relative_strength;volatility,TRUE,FILE_ORDER_OR_UNKNOWN,CURRENT_OR_RECENT,STALE_OR_UNKNOWN,latest_v18_13b_ranked_candidate_output=outputs/v18/candidates/V18_13B_CURRENT_RANKED_CANDIDATES_INPUT_AUDIT.csv; latest_v18_13c_unified_ranked_output=outputs/v18/read_center/V18_13C_CURRENT_UNIFIED_DAILY_WITH_RANKED_CANDIDATES_INPUT_AUDIT.csv; latest_v18_14b_current_daily_output=outputs/v18/ops/V18_14B_CURRENT_DAILY_COMMAND_CENTER_INPUT_AUDIT.csv,,AMAT
TOP20_RANKED_TICKER_07,PRESENT_BUT_NOT_VERIFIED_USED,outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,FOUND,rank ASC,composite_candidate_score;primary_score_source_files;score_source_status;score_source_files;score_source_columns,composite_candidate_score=13.462921;primary_score_source_files=outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;score_source_status=OK_SCORE_SOURCE_FOUND;score_source_files=outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;score_source_columns=factor_pack_rank;factor_pack_score;overheat_penalty;technical_timing_score;volatility_penalty,trend;momentum;relative_strength;volatility,TRUE,FILE_ORDER_OR_UNKNOWN,CURRENT_OR_RECENT,STALE_OR_UNKNOWN,latest_v18_13b_ranked_candidate_output=outputs/v18/candidates/V18_13B_CURRENT_RANKED_CANDIDATES_INPUT_AUDIT.csv; latest_v18_13c_unified_ranked_output=outputs/v18/read_center/V18_13C_CURRENT_UNIFIED_DAILY_WITH_RANKED_CANDIDATES_INPUT_AUDIT.csv; latest_v18_14b_current_daily_output=outputs/v18/ops/V18_14B_CURRENT_DAILY_COMMAND_CENTER_INPUT_AUDIT.csv,,AMKR
TOP20_RANKED_TICKER_08,PRESENT_BUT_NOT_VERIFIED_USED,outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,FOUND,rank ASC,composite_candidate_score;primary_score_source_files;score_source_status;score_source_files;score_source_columns,composite_candidate_score=9.155175;primary_score_source_files=outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;score_source_status=OK_SCORE_SOURCE_FOUND;score_source_files=outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;score_source_columns=factor_pack_rank;factor_pack_score;overheat_penalty;technical_timing_score;volatility_penalty,trend;momentum;relative_strength;volatility,TRUE,FILE_ORDER_OR_UNKNOWN,CURRENT_OR_RECENT,STALE_OR_UNKNOWN,latest_v18_13b_ranked_candidate_output=outputs/v18/candidates/V18_13B_CURRENT_RANKED_CANDIDATES_INPUT_AUDIT.csv; latest_v18_13c_unified_ranked_output=outputs/v18/read_center/V18_13C_CURRENT_UNIFIED_DAILY_WITH_RANKED_CANDIDATES_INPUT_AUDIT.csv; latest_v18_14b_current_daily_output=outputs/v18/ops/V18_14B_CURRENT_DAILY_COMMAND_CENTER_INPUT_AUDIT.csv,,ANET
TOP20_RANKED_TICKER_09,PRESENT_BUT_NOT_VERIFIED_USED,outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,FOUND,rank ASC,composite_candidate_score;primary_score_source_files;score_source_status;score_source_files;score_source_columns,composite_candidate_score=6.746984;primary_score_source_files=outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;score_source_status=OK_SCORE_SOURCE_FOUND;score_source_files=outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;score_source_columns=factor_pack_rank;factor_pack_score;overheat_penalty;technical_timing_score;volatility_penalty,trend;momentum;relative_strength;volatility,TRUE,FILE_ORDER_OR_UNKNOWN,CURRENT_OR_RECENT,STALE_OR_UNKNOWN,latest_v18_13b_ranked_candidate_output=outputs/v18/candidates/V18_13B_CURRENT_RANKED_CANDIDATES_INPUT_AUDIT.csv; latest_v18_13c_unified_ranked_output=outputs/v18/read_center/V18_13C_CURRENT_UNIFIED_DAILY_WITH_RANKED_CANDIDATES_INPUT_AUDIT.csv; latest_v18_14b_current_daily_output=outputs/v18/ops/V18_14B_CURRENT_DAILY_COMMAND_CENTER_INPUT_AUDIT.csv,,AMZN
TOP20_RANKED_TICKER_10,PRESENT_BUT_NOT_VERIFIED_USED,outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,FOUND,rank ASC,composite_candidate_score;primary_score_source_files;score_source_status;score_source_files;score_source_columns,composite_candidate_score=6.112825;primary_score_source_files=outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;score_source_status=OK_SCORE_SOURCE_FOUND;score_source_files=outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;score_source_columns=factor_pack_rank;factor_pack_score;overheat_penalty;technical_timing_score;volatility_penalty,trend;momentum;relative_strength;volatility,TRUE,FILE_ORDER_OR_UNKNOWN,CURRENT_OR_RECENT,STALE_OR_UNKNOWN,latest_v18_13b_ranked_candidate_output=outputs/v18/candidates/V18_13B_CURRENT_RANKED_CANDIDATES_INPUT_AUDIT.csv; latest_v18_13c_unified_ranked_output=outputs/v18/read_center/V18_13C_CURRENT_UNIFIED_DAILY_WITH_RANKED_CANDIDATES_INPUT_AUDIT.csv; latest_v18_14b_current_daily_output=outputs/v18/ops/V18_14B_CURRENT_DAILY_COMMAND_CENTER_INPUT_AUDIT.csv,,CARR
TOP20_RANKED_TICKER_11,PRESENT_BUT_NOT_VERIFIED_USED,outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,FOUND,rank ASC,composite_candidate_score;primary_score_source_files;score_source_status;score_source_files;score_source_columns,composite_candidate_score=2.810857;primary_score_source_files=outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;score_source_status=OK_SCORE_SOURCE_FOUND;score_source_files=outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;score_source_columns=factor_pack_rank;factor_pack_score;overheat_penalty;technical_timing_score;volatility_penalty,trend;momentum;relative_strength;volatility,TRUE,FILE_ORDER_OR_UNKNOWN,CURRENT_OR_RECENT,STALE_OR_UNKNOWN,latest_v18_13b_ranked_candidate_output=outputs/v18/candidates/V18_13B_CURRENT_RANKED_CANDIDATES_INPUT_AUDIT.csv; latest_v18_13c_unified_ranked_output=outputs/v18/read_center/V18_13C_CURRENT_UNIFIED_DAILY_WITH_RANKED_CANDIDATES_INPUT_AUDIT.csv; latest_v18_14b_current_daily_output=outputs/v18/ops/V18_14B_CURRENT_DAILY_COMMAND_CENTER_INPUT_AUDIT.csv,,AVGO
TOP20_RANKED_TICKER_12,PRESENT_BUT_NOT_VERIFIED_USED,outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,FOUND,rank ASC,composite_candidate_score;primary_score_source_files;score_source_status;score_source_files;score_source_columns,composite_candidate_score=-6.071555;primary_score_source_files=outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;score_source_status=OK_SCORE_SOURCE_FOUND;score_source_files=outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;score_source_columns=factor_pack_rank;factor_pack_score;overheat_penalty;technical_timing_score;volatility_penalty,trend;momentum;relative_strength;volatility,TRUE,FILE_ORDER_OR_UNKNOWN,CURRENT_OR_RECENT,STALE_OR_UNKNOWN,latest_v18_13b_ranked_candidate_output=outputs/v18/candidates/V18_13B_CURRENT_RANKED_CANDIDATES_INPUT_AUDIT.csv; latest_v18_13c_unified_ranked_output=outputs/v18/read_center/V18_13C_CURRENT_UNIFIED_DAILY_WITH_RANKED_CANDIDATES_INPUT_AUDIT.csv; latest_v18_14b_current_daily_output=outputs/v18/ops/V18_14B_CURRENT_DAILY_COMMAND_CENTER_INPUT_AUDIT.csv,,ACMR
TOP20_RANKED_TICKER_13,PRESENT_BUT_NOT_VERIFIED_USED,outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,FOUND,rank ASC,composite_candidate_score;primary_score_source_files;score_source_status;score_source_files;score_source_columns,composite_candidate_score=-8.716000;primary_score_source_files=outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;score_source_status=OK_SCORE_SOURCE_FOUND;score_source_files=outputs/v18/factor_pack/V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv;outputs/v18/technical_timing/V18_6A_CURRENT_TECHNICAL_TIMING.csv;score_source_columns=factor_pack_rank;factor_pack_score;overheat_penalty;technical_timing_score;volatility_penalty,trend;momentum;relative_strength;volatility,TRUE,FILE_ORDER_OR_UNKNOWN,CURRENT_OR_RECENT,STALE_OR_UNKNOWN,latest_v18_13b_ranked_candidate_output=outputs/v18/candidates/V18_13B_CURRENT_RANKED_CANDIDATES_INPUT_AUDIT.csv; latest_v18_13c_unified_ranked_output=outputs/v18/read_center/V18_13C_CURRENT_UNIFIED_DAILY_WITH_RANKED_CANDIDATES_INPUT_AUDIT.csv; latest_v18_14b_current_daily_output=outputs/v18/ops/V18_14B_CURRENT_DAILY_COMMAND_CENTER_INPUT_AUDIT.csv,,AAPL
