path,relative_path,file_size_mb,keep_reason,protected_category
D:\us-tech-quant\scripts\run_v16_daily_full_universe.ps1.before_v18_yaml_parser_exact_fix_R4_20260517_214906.bak,scripts/run_v16_daily_full_universe.ps1.before_v18_yaml_parser_exact_fix_R4_20260517_214906.bak,0.007,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\run_v17_1_1_factor_effectiveness_tracker.ps1,scripts/run_v17_1_1_factor_effectiveness_tracker.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\run_v17_1_1_factor_effectiveness_tracker.py,scripts/run_v17_1_1_factor_effectiveness_tracker.py,0.037,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\run_v17_1_factor_effectiveness_tracker.ps1,scripts/run_v17_1_factor_effectiveness_tracker.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\run_v17_1_factor_effectiveness_tracker.py,scripts/run_v17_1_factor_effectiveness_tracker.py,0.027,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\run_v17_6E_screened_universe_latest_price_audit.ps1,scripts/run_v17_6E_screened_universe_latest_price_audit.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\run_v17_6E_screened_universe_latest_price_audit.py,scripts/run_v17_6E_screened_universe_latest_price_audit.py,0.010,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\run_v17_6F_manual_daily_full_universe_latest_price.ps1,scripts/run_v17_6F_manual_daily_full_universe_latest_price.ps1,0.011,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\run_v17_6F_manual_daily_full_universe_latest_price.ps1.before_v17_6H_R2_health_compat_merge_20260512_214243.bak,scripts/run_v17_6F_manual_daily_full_universe_latest_price.ps1.before_v17_6H_R2_health_compat_merge_20260512_214243.bak,0.010,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\run_v17_6G_B_legacy_health_compat_preflight.ps1,scripts/run_v17_6G_B_legacy_health_compat_preflight.ps1,0.002,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\run_v17_6G_B_manual_daily_with_health_compat.ps1,scripts/run_v17_6G_B_manual_daily_with_health_compat.ps1,0.002,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\run_v17_7B_universe_semantic_audit.ps1,scripts/run_v17_7B_universe_semantic_audit.ps1,0.008,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\run_v17_7C_manual_daily_with_raw_universe_audit.ps1,scripts/run_v17_7C_manual_daily_with_raw_universe_audit.ps1,0.008,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\run_v17_7C_R1_manual_daily_with_raw105_audit.ps1,scripts/run_v17_7C_R1_manual_daily_with_raw105_audit.ps1,0.014,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\run_v17_7D_main_compute_delta_audit.ps1,scripts/run_v17_7D_main_compute_delta_audit.ps1,0.012,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\run_v17_7E_removed_main_compute_inspection.ps1,scripts/run_v17_7E_removed_main_compute_inspection.ps1,0.007,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\run_v17_7F_B_raw105_price_freshness_acceptance.ps1,scripts/run_v17_7F_B_raw105_price_freshness_acceptance.ps1,0.008,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\run_v17_7F_raw105_latest_price_refresh.ps1,scripts/run_v17_7F_raw105_latest_price_refresh.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\run_v17_7F_raw105_latest_price_refresh.py,scripts/run_v17_7F_raw105_latest_price_refresh.py,0.010,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\run_v17_7G_R1_manual_daily_dynamic_raw105.ps1,scripts/run_v17_7G_R1_manual_daily_dynamic_raw105.ps1,0.015,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\run_v17_7_raw_universe_full_screen_audit.ps1,scripts/run_v17_7_raw_universe_full_screen_audit.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\run_v17_7_raw_universe_full_screen_audit.py,scripts/run_v17_7_raw_universe_full_screen_audit.py,0.016,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\run_v17_8A_raw105_full_decision_daily.ps1,scripts/run_v17_8A_raw105_full_decision_daily.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\run_v17_8A_raw105_full_decision_daily.py,scripts/run_v17_8A_raw105_full_decision_daily.py,0.020,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\run_v17_8B_raw105_full_decision_readable_panel.ps1,scripts/run_v17_8B_raw105_full_decision_readable_panel.ps1,0.013,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\run_v17_8C_raw105_clean_overwrite_daily.ps1,scripts/run_v17_8C_raw105_clean_overwrite_daily.ps1,0.008,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\run_v17_8D_raw105_current_only_daily.ps1,scripts/run_v17_8D_raw105_current_only_daily.ps1,0.007,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\ops\cleanup_v17_generated_outputs_keep_latest.ps1,scripts/ops/cleanup_v17_generated_outputs_keep_latest.ps1,0.003,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\patch_v18_10B_R2_R1_readfirst_parser_fix.py,scripts/v18/patch_v18_10B_R2_R1_readfirst_parser_fix.py,0.002,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_10A_factor_registry_coverage_audit.ps1,scripts/v18/run_v18_10A_factor_registry_coverage_audit.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_10A_R2_factor_daily_capture_patch.ps1,scripts/v18/run_v18_10A_R2_factor_daily_capture_patch.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_10B_factor_effectiveness_backtest.ps1,scripts/v18/run_v18_10B_factor_effectiveness_backtest.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_10B_R1_forward_return_maturity_monitor.ps1,scripts/v18/run_v18_10B_R1_forward_return_maturity_monitor.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_10B_R2_factor_research_daily_chain.ps1,scripts/v18/run_v18_10B_R2_factor_research_daily_chain.ps1,0.012,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_10B_R2_factor_research_daily_chain.ps1.before_backtick_escape_fix_20260517_002036.bak,scripts/v18/run_v18_10B_R2_factor_research_daily_chain.ps1.before_backtick_escape_fix_20260517_002036.bak,0.010,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_10B_R2_factor_research_daily_chain.ps1.before_clean_rewrite_20260517_002312.bak,scripts/v18/run_v18_10B_R2_factor_research_daily_chain.ps1.before_clean_rewrite_20260517_002312.bak,0.010,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_10B_R2_factor_research_daily_chain.ps1.before_here_string_fix_20260517_001931.bak,scripts/v18/run_v18_10B_R2_factor_research_daily_chain.ps1.before_here_string_fix_20260517_001931.bak,0.009,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_10B_R2_factor_research_daily_chain.ps1.before_step_output_filter_fix_20260517_002214.bak,scripts/v18/run_v18_10B_R2_factor_research_daily_chain.ps1.before_step_output_filter_fix_20260517_002214.bak,0.010,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_10B_R2_factor_research_daily_chain.ps1.before_v18_10B_R2_R1_readfirst_parser_fix_20260517_004211.bak,scripts/v18/run_v18_10B_R2_factor_research_daily_chain.ps1.before_v18_10B_R2_R1_readfirst_parser_fix_20260517_004211.bak,0.011,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_10B_R3_stable_snapshot.ps1,scripts/v18/run_v18_10B_R3_stable_snapshot.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_10C_R1_factor_weight_research_daily_chain.ps1,scripts/v18/run_v18_10C_R1_factor_weight_research_daily_chain.ps1,0.013,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_10C_R1_factor_weight_research_daily_chain.ps1.before_v18_10C_R1_R1_factor_capture_integration_20260517_014401.bak,scripts/v18/run_v18_10C_R1_factor_weight_research_daily_chain.ps1.before_v18_10C_R1_R1_factor_capture_integration_20260517_014401.bak,0.013,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_10C_R2_stable_snapshot.ps1,scripts/v18/run_v18_10C_R2_stable_snapshot.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_10C_weight_research_engine.ps1,scripts/v18/run_v18_10C_weight_research_engine.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_10D_official_daily_with_factor_weight_research.ps1,scripts/v18/run_v18_10D_official_daily_with_factor_weight_research.ps1,0.014,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_10D_R1_stable_snapshot.ps1,scripts/v18/run_v18_10D_R1_stable_snapshot.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_10D_R2_stable_snapshot.ps1,scripts/v18/run_v18_10D_R2_stable_snapshot.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_11D_shadow_factor_daily.ps1,scripts/v18/run_v18_11D_shadow_factor_daily.ps1,0.007,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_11E_shadow_factor_summary.ps1,scripts/v18/run_v18_11E_shadow_factor_summary.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_11F_R1_stable_snapshot.ps1,scripts/v18/run_v18_11F_R1_stable_snapshot.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_11F_shadow_factor_research_chain.ps1,scripts/v18/run_v18_11F_shadow_factor_research_chain.ps1,0.011,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_11_calendar_vwap_rv_shadow_factors.ps1,scripts/v18/run_v18_11_calendar_vwap_rv_shadow_factors.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_12A_R1_stable_snapshot.ps1,scripts/v18/run_v18_12A_R1_stable_snapshot.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_12A_sell_timing_shadow_engine.ps1,scripts/v18/run_v18_12A_sell_timing_shadow_engine.ps1,0.002,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_12B_R1_stable_snapshot.ps1,scripts/v18/run_v18_12B_R1_stable_snapshot.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_12B_sell_timing_technical_label_integration.ps1,scripts/v18/run_v18_12B_sell_timing_technical_label_integration.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_12C_position_lifecycle_review.ps1,scripts/v18/run_v18_12C_position_lifecycle_review.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_12C_R1_stable_snapshot.ps1,scripts/v18/run_v18_12C_R1_stable_snapshot.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_12D_exit_signal_forward_validation.ps1,scripts/v18/run_v18_12D_exit_signal_forward_validation.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_12D_R1_stable_snapshot.ps1,scripts/v18/run_v18_12D_R1_stable_snapshot.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_12E_R1_stable_snapshot.ps1,scripts/v18/run_v18_12E_R1_stable_snapshot.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_12E_sell_timing_daily_wrapper.ps1,scripts/v18/run_v18_12E_sell_timing_daily_wrapper.ps1,0.002,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_12F_R1_stable_snapshot.ps1,scripts/v18/run_v18_12F_R1_stable_snapshot.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_12F_R2_stable_snapshot.ps1,scripts/v18/run_v18_12F_R2_stable_snapshot.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_12F_shadow_research_daily_with_sell_timing.ps1,scripts/v18/run_v18_12F_shadow_research_daily_with_sell_timing.ps1,0.006,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_12G_sell_timing_cleanup_audit.ps1,scripts/v18/run_v18_12G_sell_timing_cleanup_audit.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_12H_R1_stable_snapshot.ps1,scripts/v18/run_v18_12H_R1_stable_snapshot.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_12H_sell_timing_read_center_link.ps1,scripts/v18/run_v18_12H_sell_timing_read_center_link.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_13A_R1_stable_snapshot.ps1,scripts/v18/run_v18_13A_R1_stable_snapshot.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_13A_unified_daily_read_center_link.ps1,scripts/v18/run_v18_13A_unified_daily_read_center_link.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_13B_R1_stable_snapshot.ps1,scripts/v18/run_v18_13B_R1_stable_snapshot.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_13B_ranked_candidate_read_center.ps1,scripts/v18/run_v18_13B_ranked_candidate_read_center.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_13C_R1_stable_snapshot.ps1,scripts/v18/run_v18_13C_R1_stable_snapshot.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_13C_ranked_candidate_unified_link.ps1,scripts/v18/run_v18_13C_ranked_candidate_unified_link.ps1,0.002,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_13D_daily_command_center.ps1,scripts/v18/run_v18_13D_daily_command_center.ps1,0.006,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_13D_R1_stable_snapshot.ps1,scripts/v18/run_v18_13D_R1_stable_snapshot.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_14A_full_daily_mode_validation.ps1,scripts/v18/run_v18_14A_full_daily_mode_validation.ps1,0.000,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_14A_R1_stable_snapshot.ps1,scripts/v18/run_v18_14A_R1_stable_snapshot.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_14B_current_daily_command_center.ps1,scripts/v18/run_v18_14B_current_daily_command_center.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_14B_R1_stable_snapshot.ps1,scripts/v18/run_v18_14B_R1_stable_snapshot.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_14C_R1_stable_snapshot.ps1,scripts/v18/run_v18_14C_R1_stable_snapshot.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_14C_ranked_candidate_forward_tracker.ps1,scripts/v18/run_v18_14C_ranked_candidate_forward_tracker.ps1,0.002,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_14D_R1_stable_snapshot.ps1,scripts/v18/run_v18_14D_R1_stable_snapshot.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_14D_ranked_candidate_forward_price_filler.ps1,scripts/v18/run_v18_14D_ranked_candidate_forward_price_filler.ps1,0.002,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_14E_current_daily_with_forward_tracker.ps1,scripts/v18/run_v18_14E_current_daily_with_forward_tracker.ps1,0.002,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_14E_R1_stable_snapshot.ps1,scripts/v18/run_v18_14E_R1_stable_snapshot.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_15A_manual_position_trade_feedback.ps1,scripts/v18/run_v18_15A_manual_position_trade_feedback.ps1,0.002,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_15A_R1_stable_snapshot.ps1,scripts/v18/run_v18_15A_R1_stable_snapshot.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_15B_current_daily_with_manual_feedback.ps1,scripts/v18/run_v18_15B_current_daily_with_manual_feedback.ps1,0.002,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_15B_R1_stable_snapshot.ps1,scripts/v18/run_v18_15B_R1_stable_snapshot.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_15C_predevelopment_program_audit.ps1,scripts/v18/run_v18_15C_predevelopment_program_audit.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_16A_universe_rolling_state_builder.ps1,scripts/v18/run_v18_16A_universe_rolling_state_builder.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_16B_rolling_scan_scheduler.ps1,scripts/v18/run_v18_16B_rolling_scan_scheduler.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_16C_scan_scoped_data_update.ps1,scripts/v18/run_v18_16C_scan_scoped_data_update.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_16D_priority_based_light_scanner.ps1,scripts/v18/run_v18_16D_priority_based_light_scanner.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_16E_promotion_demotion_engine.ps1,scripts/v18/run_v18_16E_promotion_demotion_engine.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_16F_current_daily_with_rolling_universe_scan.ps1,scripts/v18/run_v18_16F_current_daily_with_rolling_universe_scan.ps1,0.002,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_16G_R1_stable_snapshot.ps1,scripts/v18/run_v18_16G_R1_stable_snapshot.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_17A_ranking_factor_provenance_audit.ps1,scripts/v18/run_v18_17A_ranking_factor_provenance_audit.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_18A_storage_slimming_cleanup.ps1,scripts/v18/run_v18_18A_storage_slimming_cleanup.ps1,0.002,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_18B_stable_snapshot_compression_audit.ps1,scripts/v18/run_v18_18B_stable_snapshot_compression_audit.ps1,0.002,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_18C_delete_verified_compressed_stable_originals.ps1,scripts/v18/run_v18_18C_delete_verified_compressed_stable_originals.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_18D_large_generated_output_archive_cleanup.ps1,scripts/v18/run_v18_18D_large_generated_output_archive_cleanup.ps1,0.002,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_18E_technical_timing_current_alias_externalization_audit.ps1,scripts/v18/run_v18_18E_technical_timing_current_alias_externalization_audit.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_18F_technical_timing_current_detail_slimming.ps1,scripts/v18/run_v18_18F_technical_timing_current_detail_slimming.ps1,0.002,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_1A_factor_lab_check.ps1,scripts/v18/run_v18_1A_factor_lab_check.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_1A_safe_bootstrap.ps1,scripts/v18/run_v18_1A_safe_bootstrap.ps1,0.000,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_1B_factor_value_compute.ps1,scripts/v18/run_v18_1B_factor_value_compute.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_3C_factor_shadow_daily_wrapper.ps1,scripts/v18/run_v18_3C_factor_shadow_daily_wrapper.ps1,0.002,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_3C_R1_factor_shadow_daily_quiet.ps1,scripts/v18/run_v18_3C_R1_factor_shadow_daily_quiet.ps1,0.006,PROTECTED_SOURCE_CODE,SOURCE_CODE
D:\us-tech-quant\scripts\v18\run_v18_3D_factor_pack_shadow_extension.ps1,scripts/v18/run_v18_3D_factor_pack_shadow_extension.ps1,0.001,PROTECTED_SOURCE_CODE,SOURCE_CODE
